CyrillicName,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,TotalKg,WeightClassKg,Event,Equipment,Tested,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Division,BirthDay,Age
Николай Пилипишко,99.20,160,170,180,,180,100,B,Raw,No,,,,,,,,,Pro Open,1984-01-13,
Сергей Коновалов,90.20,135,142.5,-147.5,,142.50,100,B,Raw,No,,,,,,,,,Pro Masters 40-44,40 - 44,
Николай Цыпленков,99.80,125,-130,,,125,100,B,Raw,No,,,,,,,,,Pro Masters 50-54,50 - 54,
Федор Чесноков,91.60,130,140,145,146,145,100,B,Raw,No,,,,,,,,,Pro Masters 65-69,65 - 69,
Александр Манцеров,109.60,210,215,217.5,,217.50,110,B,Raw,No,,,,,,,,,Pro Open,1983-06-13,
Алексей Белослудцев,103.50,-170,170,200,,200,110,B,Raw,No,,,,,,,,,Pro Open,1988-10-19,
Ринат Аширов,109.90,180,190,195,,195,110,B,Raw,No,,,,,,,,,Pro Open,1985-07-31,
Дмитрий Миняев,109.80,150,160,-167.5,,160,110,B,Raw,No,,,,,,,,,Pro Masters 40-44,40 - 44,
Сергей Кириллов,109.30,180,190,-195,,190,110,B,Raw,No,,,,,,,,,Pro Masters 45-49,45 - 49,
Андрей Мартемьянов,108.30,160,165,170,,170,110,B,Raw,No,,,,,,,,,Pro Masters 50-54,50 - 54,
Сергей Колесниченко,124.90,215,220,-222.5,,220,125,B,Raw,No,,,,,,,,,Pro Open,1979-11-19,
Дмитрий Назаров,110.80,190,200,-205,,200,125,B,Raw,No,,,,,,,,,Pro Open,1987-07-29,
Юрий Колмаков,124.30,190,195,-207.5,,195,125,B,Raw,No,,,,,,,,,Pro Open,1983-01-01,
Алексей Черныш,112.20,180,190,-200,,190,125,B,Raw,No,,,,,,,,,Pro Masters 45-49,45 - 49,
Дмитрий Седымов,79.80,-145,145,160,,160,82.5,B,Raw,No,,,,,,,,,Pro Teen 18-19,18 - 19,
Максим Шаронов,82.00,200,220,-230,,220,82.5,B,Raw,No,,,,,,,,,Pro Open,1982-02-25,
Григорий Серебренников,85.70,190,200,210,,210,90,B,Raw,No,,,,,,,,,Pro Open,1973-07-25,
Сергей Болдин,87.60,150,160,-170,,160,90,B,Raw,No,,,,,,,,,Pro Masters 40-44,40 - 44,
Дмитрий Цимбалистый,98.90,210,230,-240,,230,100,B,Raw,No,,,,,,,,,Pro Open,1978-11-01,
Алексей Мельников,104.00,-235,-240,240,,240,110,B,Raw,No,,,,,,,,,Pro Open,1978-12-02,
Денис Семенов,122.10,260,-270,270,,270,125,B,Raw,No,,,,,,,,,Pro Open,1974-04-27,
Евгений Катаев,90.00,220,230,240,,240,90,B,Multi-ply,No,,,,,,,,,Pro Open,1983-08-08,
Юрий Криков,88.60,200,230,-240,,230,90,B,Multi-ply,No,,,,,,,,,Pro Open,1962-04-24,
Евгений Аксенов,88.50,-190,-195,-195,,,90,B,Multi-ply,No,,,,,,,,,Pro Open,1986-08-03,
Юрий Кориков,88.60,220,230,-240,,230,90,B,Multi-ply,No,,,,,,,,,Pro Masters 50-54,50 - 54,
Эдуард Халиуллин,107.00,-260,-265,265,,265,110,B,Multi-ply,No,,,,,,,,,Pro Open,1973-05-22,
Максим Ладышкин,77.60,90,100,,,360,82.5,SBD,Raw,No,100,115,120,,100,-125,140,,Pro Open 20-23,20 - 23,
Александр Фощанка,79.50,110,120,-130,,470,82.5,SBD,Raw,No,160,170,-180,,160,170,180,,Pro Open,1985-04-22,
Валерий Мельников,82.40,130,140,145,,510,82.5,SBD,Raw,No,170,180,185,,160,170,180,,Pro Masters 50-54,50 - 54,
Михаил Лосев,81.50,90,-100,100,,420,82.5,SBD,Raw,No,140,-150,-150,,160,170,180,,Pro Masters 60-64,60 - 64,
Альберт Шакиров,95.80,145,150,,,620,100,SBD,Raw,No,-220,220,230,,230,240,-250,,Pro Open 20-23,20 - 23,
Валерий Кузнецов,96.00,170,180,-190,,670,100,SBD,Raw,No,210,230,-250,,230,250,260,,Pro Open,1983-08-21,
Павел Васильев,97.70,-160,-160,-165,,,100,SBD,Raw,No,180,-190,-200,,-210,,,,Pro Open,1978-01-09,
Руслан Ахметов,109.50,160,170,175,,685,110,SBD,Raw,No,250,260,,,200,250,,,Pro Masters 50-54,50 - 54,
Сергей Тымченко,138.10,-110,110,-120,,570,140,SBD,Raw,No,190,200,,,220,250,260,,Pro Masters 40-44,40 - 44,
Дмитрий Перминов,56.80,80,90,95,,370,60,SBD,Raw,No,-120,130,140,,120,130,135,,Pro Teen 13-19,13-15,
Сергей Марченко,75.00,130,135,140,,620,75,SBD,Raw,No,220,230,237.5,,220,-242.5,242.5,,Pro Teen 18-19,18 - 19,
Денис Бекленищев,80.10,90,100,-105,,435,82.5,SBD,Raw,No,140,150,-160,,170,185,-190,,Pro Teen 16-17,16-17,
Алексей Козлов,100.00,205,212.5,217.5,,837.50,100,SBD,Raw,No,282.5,300,320,,270,287.5,300,,Pro Masters 40-44,40 - 44,
Петр Романов,110.00,-190,190,200,,730,110,SBD,Raw,No,260,-270,270,,240,250,260,,Pro Open,1980-07-21,
Руслан Ахметов,109.50,170,200,210,,695,110,SBD,Raw,No,280,-285,285,,200,,,,Pro Masters 50-54,50 - 54,
Денис Логинов,88.80,,,,,180,90,D,Raw,No,,,,,120,150,180,,Pro Open 20-23,20 - 23,
Евгений Аксенов,88.50,,,,,190,90,D,Raw,No,,,,,140,170,190,,Pro Open,1986-08-03,
Валерий Кузнецов,96.00,,,,,270,100,D,Raw,No,,,,,230,250,270,,Pro Open,1983-08-21,
Валерий Кузнецов,96.00,,,,,,100,D,Raw,No,,,,,-230,,,,Pro Open,1983-08-21,
Алексей Мельников,104.00,,,,,285,110,D,Raw,No,,,,,285,-300,,,Pro Open,1978-12-02,
Сергей Пермяков,105.10,,,,,285,110,D,Raw,No,,,,,285,-305,-305,,Pro Open,1983-09-09,
Сергей Тымченко,138.10,,,,,280,140,D,Raw,No,,,,,220,270,280,,Pro Open,1970-06-09,
Сергей Тымченко,138.10,,,,,280,140,D,Raw,No,,,,,220,270,280,,Pro Masters 40-44,40 - 44,
Михаил Кокляев,162.50,,,,,390,140+,D,Raw,No,,,,,360,390,-402.5,,Pro Open,1978-12-17,
Михаил Глазунов,123.00,,,,,380,125,D,Raw,No,,,,,340,360,380,,Pro Open,1974-02-09,
