Name,WeightClassKg,BodyweightKg,Sex,Division,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Country
Sinacheva Svetlana,75,74.6,F,F-M (40 - 44) -AWPC,,,,,,85,90,92.5,-95,92.5,,,,,,92.5,1,B,Raw,RUS
Sheremenko Svitlana,75,72,F,F-M (50 - 54) -AWPC,,,,,,60,65,-67.5,,65,,,,,,65,1,B,Raw,UKR
Tsverova Galina,75,73.4,F,F-M (75 - 79) -AWPC,,,,,,40,-43,45,46,45,,,,,,45,1,B,Raw,RUS
Bako Natalya,82.5,78.6,F,F-O -AWPC,,,,,,75,82.5,-85,,82.5,,,,,,82.5,1,B,Raw,RUS
Tsukanova Natalya,82.5,81.2,F,F-M (50 - 54) -AWPC,,,,,,85,90,-95,,90,,,,,,90,1,B,Raw,UKR
Dragan Jevgeny,52,51.5,M,M-T -AWPC,,,,,,60,70,75,,75,,,,,,75,1,B,Raw,MLD
Pokhilko Maxim,52,51.2,M,M-T -AWPC,,,,,,72.5,75,-77.5,,75,,,,,,75,1,B,Raw,RUS
Marfin Fedor,52,51.65,M,M-J -AWPC,,,,,,75,82.5,-92.5,,82.5,,,,,,82.5,1,B,Raw,RUS
Artemyev Igor,52,51.85,M,M-O -AWPC,,,,,,112.5,117.5,-122.5,,117.5,,,,,,117.5,1,B,Raw,RUS
Vanichev Nikolai,52,51.9,M,M-O -AWPC,,,,,,95,100,-102.5,,100,,,,,,100,2,B,Raw,RUS
Grigoryev Nikolai,56,55.8,M,M-T -AWPC,,,,,,55,60,62.5,,62.5,,,,,,62.5,1,B,Raw,RUS
Plakushchenko Anatoly,56,55.2,M,M-T -AWPC,,,,,,50,-55,-55,,50,,,,,,50,2,B,Raw,MLD
Ladnyy Vadim,56,55.6,M,M-T -AWPC,,,,,,70,80,-85,,80,,,,,,80,1,B,Raw,MLD
Ponomarev Vladimir,56,53.5,M,M-J -AWPC,,,,,,105,110,115,,115,,,,,,115,1,B,Raw,RUS
Artemyev Oleg,56,55.85,M,M-O -AWPC,,,,,,115,120,127.5,,127.5,,,,,,127.5,1,B,Raw,RUS
Baranov Pavel,60,59.3,M,M-T -AWPC,,,,,,90,95,97.5,-100,97.5,,,,,,97.5,1,B,Raw,RUS
Mikhin Vitaly,60,57.8,M,M-T -AWPC,,,,,,80,87.5,-95,,87.5,,,,,,87.5,2,B,Raw,RUS
Gerasimov Artem,60,59.8,M,M-T -AWPC,,,,,,105,-110,110,,110,,,,,,110,1,B,Raw,RUS
Kozlov Ilya,60,59.8,M,M-T -AWPC,,,,,,92.5,97.5,100,,100,,,,,,100,2,B,Raw,RUS
Kovalenko Yevgeny,60,57.35,M,M-T -AWPC,,,,,,90,95,97.5,,97.5,,,,,,97.5,3,B,Raw,RUS
Bragin Sergiy,60,59.6,M,M-T -AWPC,,,,,,127.5,132.5,137.5,140,137.5,,,,,,137.5,1,B,Raw,UKR
Cires Igor,60,59.35,M,M-T -AWPC,,,,,,100,110,-115,,110,,,,,,110,2,B,Raw,MLD
Margoshvili Temirlan,60,60,M,M-T -AWPC,,,,,,90,95,-100,,95,,,,,,95,3,B,Raw,RUS
Anfimov Alexei,60,59.9,M,M-O -AWPC,,,,,,125.5,130,-132.5,,130,,,,,,130,1,B,Raw,RUS
Perevalov Sergei,60,60,M,M-O -AWPC,,,,,,115,-132.5,-132.5,,115,,,,,,115,2,B,Raw,RUS
Dvoynikov Oleg,60,59.85,M,M-M -AWPC,,,,,,90,-95,-95,,90,,,,,,90,1,B,Raw,RUS
Mukhayev Nail,67.5,61.15,M,M-T -AWPC,,,,,,50,60,,,60,,,,,,60,1,B,Raw,RUS
Shindin Vyacheslav,67.5,66.45,M,M-T -AWPC,,,,,,120,-130,,,120,,,,,,120,1,B,Raw,RUS
Gaydayenko Anton,67.5,67.2,M,M-J -AWPC,,,,,,130,-135.5,-137.5,,130,,,,,,130,1,B,Raw,UKR
Kurbanov Ceyhun,67.5,65.35,M,M-J -AWPC,,,,,,110,120,-122.5,,120,,,,,,120,2,B,Raw,AZE
Grebenshchikov Yevgeny,67.5,67.25,M,M-J -AWPC,,,,,,115,-122.5,-130,,115,,,,,,115,3,B,Raw,RUS
Grebenshchikov Alexander,67.5,67.25,M,M-O -AWPC,,,,,,-145,145,150,-152.5,150,,,,,,150,1,B,Raw,RUS
Korotkov Ruslan,67.5,67.35,M,M-O -AWPC,,,,,,142.5,-147.5,147.5,,147.5,,,,,,147.5,2,B,Raw,KAZ
Bastrygin Ivan,67.5,65.8,M,M-O -AWPC,,,,,,130,135,137.5,,137.5,,,,,,137.5,3,B,Raw,RUS
Melekhin Dmitry,67.5,66.4,M,M-O -AWPC,,,,,,125,130,132.5,,132.5,,,,,,132.5,4,B,Raw,RUS
Nikitin Aleksander,67.5,66.25,M,M-O -AWPC,,,,,,-130,-130,-130,,,,,,,,,DQ,B,Raw,RUS
Kolistratov Dmitry,67.5,66.9,M,M-O -AWPC,,,,,,-130,-132.5,-135,,,,,,,,,DQ,B,Raw,RUS
Zabolotnev Vladimir,67.5,66.6,M,M-M -AWPC,,,,,,130,135,137.5,,137.5,,,,,,137.5,1,B,Raw,RUS
Kumanchenko Alexander,67.5,65.9,M,M-M -AWPC,,,,,,125,-135,-135,,125,,,,,,125,2,B,Raw,RUS
Kireyev Nikolai,67.5,67.15,M,M-M -AWPC,,,,,,115,122.5,130,-133,130,,,,,,130,1,B,Raw,RUS
Kim Sergei,67.5,66.8,M,M-M -AWPC,,,,,,112.5,117.5,-120,,117.5,,,,,,117.5,1,B,Raw,RUS
Alampiyev Sergei,67.5,67,M,M-M -AWPC,,,,,,105,110,-115,,110,,,,,,110,2,B,Raw,RUS
Chistyakov Anatoly,67.5,62.6,M,M-M -AWPC,,,,,,65,67.5,-70,,67.5,,,,,,67.5,1,B,Raw,RUS
Karpenko Alexander,75,73.5,M,M-T -AWPC,,,,,,120,132.5,135,-140,135,,,,,,135,1,B,Raw,RUS
Kembike Grigory,75,74,M,M-T -AWPC,,,,,,-120,-120,-135,,,,,,,,,DQ,B,Raw,RUS
Vasin Maxim,75,72.1,M,M-T -AWPC,,,,,,135,142.5,-147.5,,142.5,,,,,,142.5,1,B,Raw,RUS
Ushakov Dmitry,75,74.85,M,M-T -AWPC,,,,,,130,135,140,143,140,,,,,,140,2,B,Raw,RUS
Dudinets Andrei,75,74.45,M,M-T -AWPC,,,,,,127.5,-135,135,,135,,,,,,135,3,B,Raw,RUS
Gurkovskiy Sergei,75,71.3,M,M-T -AWPC,,,,,,120,125,-130,,125,,,,,,125,4,B,Raw,RUS
Sukhovenko Yevgeny,75,73.8,M,M-T -AWPC,,,,,,120,122.5,125,,125,,,,,,125,5,B,Raw,RUS
Oleynik Alexander,75,72.7,M,M-T -AWPC,,,,,,-100,,,,,,,,,,,DQ,B,Raw,MLD
Kumskov Stanislav,75,74.85,M,M-T -AWPC,,,,,,-125,,,,,,,,,,,DQ,B,Raw,RUS
Yarovoy Anatoly,75,73.3,M,M-J -AWPC,,,,,,142.5,147.5,155,-160,155,,,,,,155,1,B,Raw,RUS
Osipov Oleg,75,73.9,M,M-J -AWPC,,,,,,135,140,142.5,,142.5,,,,,,142.5,2,B,Raw,RUS
Bulimin Maxim,75,74,M,M-J -AWPC,,,,,,132.5,140,142.5,,142.5,,,,,,142.5,3,B,Raw,RUS
Vostrikov Denys,75,73.55,M,M-J -AWPC,,,,,,132.5,140,-145,,140,,,,,,140,4,B,Raw,UKR
Makhmadbekov Dilshod,75,74.25,M,M-J -AWPC,,,,,,-135,140,-145,,140,,,,,,140,5,B,Raw,RUS
Milostnoy Stanislav,75,73.85,M,M-O -AWPC,,,,,,180,187.5,190,,190,,,,,,190,1,B,Raw,RUS
Panayev Alexander,75,74.9,M,M-O -AWPC,,,,,,165,175,177.5,,177.5,,,,,,177.5,2,B,Raw,KAZ
Bulimin Alexander,75,74,M,M-O -AWPC,,,,,,175,-185,-185,,175,,,,,,175,3,B,Raw,RUS
Noskov Alexei,75,74.3,M,M-O -AWPC,,,,,,155,162.5,165,-167.5,165,,,,,,165,4,B,Raw,RUS
Perevalov Alexander,75,73.3,M,M-O -AWPC,,,,,,162.5,-172.5,-172.5,,162.5,,,,,,162.5,5,B,Raw,RUS
Yarovoy Anatoly,75,73.3,M,M-O -AWPC,,,,,,142.5,147.5,155,,155,,,,,,155,6,B,Raw,RUS
Rudnev Dmitry,75,73.65,M,M-O -AWPC,,,,,,-140,-140,,,,,,,,,,DQ,B,Raw,RUS
Tatarkin Alexander,75,73.35,M,M-M -AWPC,,,,,,135,145,150,151,150,,,,,,150,1,B,Raw,RUS
Cherednichenko Anatoliy,75,75,M,M-M -AWPC,,,,,,95,105,,,105,,,,,,105,2,B,Raw,UKR
Bobkov Sergiy,75,74,M,M-M -AWPC,,,,,,80,90,-100,,90,,,,,,90,1,B,Raw,UKR
Kravtsov Petro,75,73,M,M-M -AWPC,,,,,,110,,,,110,,,,,,110,1,B,Raw,UKR
Manchuk Volodymyr,75,73.7,M,M-M -AWPC,,,,,,102.5,112.5,-115,,112.5,,,,,,112.5,1,B,Raw,UKR
Saprygin Gennadiy,75,71.65,M,M-M -AWPC,,,,,,72.5,80,85,,85,,,,,,85,1,B,Raw,UKR
Kolyadenko Olexandr,82.5,79.4,M,M-T -AWPC,,,,,,90,105,110,-116,110,,,,,,110,1,B,Raw,UKR
Kletsko Yegor,82.5,80.2,M,M-T -AWPC,,,,,,120,125,130.5,,130.5,,,,,,130,1,B,Raw,RUS
Anuchin Ivan,82.5,79.6,M,M-T -AWPC,,,,,,130,140,145,,145,,,,,,145,1,B,Raw,RUS
Dzhusoyev German,82.5,82.2,M,M-T -AWPC,,,,,,125,135,142.5,,142.5,,,,,,142.5,2,B,Raw,RUS
Chudin Ilya,82.5,75.5,M,M-T -AWPC,,,,,,-115,115,120,,120,,,,,,120,3,B,Raw,RUS
Yakovlev Leonid,82.5,79.5,M,M-J -AWPC,,,,,,142.5,150,-155,,150,,,,,,150,1,B,Raw,RUS
Bychok Vladyslav,82.5,81.55,M,M-J -AWPC,,,,,,140,150,-155,,150,,,,,,150,2,B,Raw,UKR
Nagovitsyn Mikhail,82.5,79.5,M,M-O -AWPC,,,,,,175,182.5,190,,190,,,,,,190,1,B,Raw,RUS
Galayda Andrei,82.5,81.5,M,M-O -AWPC,,,,,,175,-180,185,,185,,,,,,185,2,B,Raw,RUS
Reshetnikov Vladimir,82.5,82.35,M,M-O -AWPC,,,,,,170,180,185,,185,,,,,,185,3,B,Raw,RUS
Veber Mikhail,82.5,82.4,M,M-O -AWPC,,,,,,180,185,-192.5,,185,,,,,,185,4,B,Raw,RUS
Zhukov Vladimir,82.5,79.1,M,M-O -AWPC,,,,,,160,167.5,172.5,,172.5,,,,,,172.5,5,B,Raw,RUS
Popov Sergei,82.5,81.6,M,M-O -AWPC,,,,,,167.5,-172.5,-172.5,,167.5,,,,,,167.5,6,B,Raw,RUS
Bogatkov Andrei,82.5,81.2,M,M-O -AWPC,,,,,,155,-160,160,,160,,,,,,160,7,B,Raw,RUS
Muravyev Vladimir,82.5,80.55,M,M-M -AWPC,,,,,,135,142.5,147.5,-150.5,147.5,,,,,,147.5,1,B,Raw,RUS
Isakov Eduard,82.5,79.2,M,M-M -AWPC,,,,,,115,125,-132.5,,125,,,,,,125,2,B,Raw,RUS
Reshetnikov Vladimir,82.5,82.35,M,M-M -AWPC,,,,,,170,180,185,190.5,185,,,,,,185,1,B,Raw,RUS
Piskalov Vyacheslav,82.5,80,M,M-M -AWPC,,,,,,110,117.5,122.5,,122.5,,,,,,122.5,1,B,Raw,RUS
Kornishin Vladimir,82.5,76.6,M,M-M -AWPC,,,,,,105,110,-112.5,,110,,,,,,110,1,B,Raw,RUS
Larin Vladimir,82.5,80.45,M,M-M -AWPC,,,,,,100,-107.5,-112.5,,100,,,,,,100,2,B,Raw,RUS
Tsoriyev Eldar,82.5,82.1,M,M-M -AWPC,,,,,,132.5,137.5,140,,140,,,,,,140,1,B,Raw,RUS
Shamray Yuri,82.5,80.6,M,M-M -AWPC,,,,,,100,-110,110,,110,,,,,,110,2,B,Raw,UKR
Biserov Alexander,82.5,76,M,M-M -AWPC,,,,,,75,80,82.5,,82.5,,,,,,82.5,1,B,Raw,RUS
Zaborovskiy Georgy,90,88.35,M,M-T -AWPC,,,,,,145,155,,,155,,,,,,155,1,B,Raw,RUS
Razudalov Sergei,90,88.9,M,M-T -AWPC,,,,,,170,175,-180,,175,,,,,,175,1,B,Raw,RUS
Logunov Artem,90,88.6,M,M-T -AWPC,,,,,,173,-177.5,-177.5,,173,,,,,,173,2,B,Raw,RUS
Udovichenko Maxim,90,86.9,M,M-T -AWPC,,,,,,155,162.5,-167.5,,162.5,,,,,,162.5,3,B,Raw,RUS
Khabibullin Ruslan,90,85.75,M,M-T -AWPC,,,,,,145,155,-162.5,,155,,,,,,155,4,B,Raw,RUS
Fedoseyev Olexandr,90,87,M,M-T -AWPC,,,,,,-145,145,-155,,145,,,,,,145,5,B,Raw,UKR
Stefanchyshen Roman,90,89.7,M,M-J -AWPC,,,,,,170,180,-190,,180,,,,,,180,1,B,Raw,UKR
Makarenkov Andrei,90,89.2,M,M-J -AWPC,,,,,,160,165,-170,,165,,,,,,165,2,B,Raw,RUS
Kharauzov Alexei,90,88,M,M-O -AWPC,,,,,,190,-200,-200,,190,,,,,,190,1,B,Raw,RUS
Zaytsev Sergei,90,89.9,M,M-O -AWPC,,,,,,190,-202,-202.5,,190,,,,,,190,2,B,Raw,RUS
Musaev Chingiz,90,89.4,M,M-O -AWPC,,,,,,165,170,175,,175,,,,,,175,3,B,Raw,TJK
Sanakoyev Alexander,90,88.85,M,M-O -AWPC,,,,,,170,-180,-180,,170,,,,,,170,4,B,Raw,RUS
Ibragimov Cabir,90,89.65,M,M-O -AWPC,,,,,,165,-172.5,-172.5,,165,,,,,,165,5,B,Raw,AZE
Talda Konstantin,90,90,M,M-O -AWPC,,,,,,155,-160,,,155,,,,,,155,6,B,Raw,RUS
Komarov Sergei,90,87.6,M,M-O -AWPC,,,,,,-155,-155,-155,,,,,,,,,DQ,B,Raw,RUS
Zhukov Sergei,90,89.15,M,M-M -AWPC,,,,,,160,167.5,,,167.5,,,,,,167.5,1,B,Raw,RUS
Petrov Alexander,90,89.1,M,M-M -AWPC,,,,,,170,177.5,-182.5,,177.5,,,,,,177.5,1,B,Raw,RUS
Leontyev Alexander,90,90,M,M-M -AWPC,,,,,,155,160,-162.5,,160,,,,,,160,2,B,Raw,RUS
Ulanov Alexander,90,88.6,M,M-M -AWPC,,,,,,122.5,127.5,130,,130,,,,,,130,3,B,Raw,RUS
Samonov Mykola,90,89,M,M-M -AWPC,,,,,,-150,-155,-155,,,,,,,,,DQ,B,Raw,UKR
Muran Vladimir,90,90,M,M-M -AWPC,,,,,,150,160,-165,,160,,,,,,160,1,B,Raw,RUS
Vashchenko Vasyl,90,86.9,M,M-M -AWPC,,,,,,120,130,132.5,,132.5,,,,,,132.5,2,B,Raw,UKR
Zaytsev Olexandr,90,89.9,M,M-M -AWPC,,,,,,110,117.5,-122.5,,117.5,,,,,,117.5,1,B,Raw,UKR
Khimchenko Vyacheslav,90,85.3,M,M-M -AWPC,,,,,,110,115,-120,,115,,,,,,115,1,B,Raw,UKR
Moskalenko Stanislav,100,99.4,M,M-T -AWPC,,,,,,150,162.5,165,170,165,,,,,,165,1,B,Raw,RUS
Fedoseyev Olexandr,100,90.2,M,M-T -AWPC,,,,,,145,155,160,-165,160,,,,,,160,1,B,Raw,UKR
Yurku Sergei,100,98.1,M,M-T -AWPC,,,,,,130,142.5,-150,,142.5,,,,,,142.5,2,B,Raw,MLD
Panferov Yevgeny,100,96.6,M,M-T -AWPC,,,,,,132.5,140,-147.5,,140,,,,,,140,3,B,Raw,RUS
Kambiyev Aslanbek,100,91.3,M,M-J -AWPC,,,,,,165,170,172.5,175,172.5,,,,,,172.5,1,B,Raw,RUS
Maslov Ivan,100,97.85,M,M-J -AWPC,,,,,,150,-157.5,-157.5,,150,,,,,,150,2,B,Raw,RUS
Chekanov Alexander,100,93.5,M,M-O -AWPC,,,,,,180,187.5,190,,190,,,,,,190,1,B,Raw,RUS
Solovyev Nikolai,100,96.95,M,M-O -AWPC,,,,,,180,-187.5,187.5,,187.5,,,,,,187.5,2,B,Raw,RUS
Sukhoviyenko Maxim,100,100,M,M-O -AWPC,,,,,,175,187.5,-190,,187.5,,,,,,187.5,3,B,Raw,RUS
Romasenko Nikolai,100,98.8,M,M-O -AWPC,,,,,,175,185,-187.5,,185,,,,,,185,4,B,Raw,RUS
Isakov Alexei,100,99.5,M,M-O -AWPC,,,,,,180,-187.5,-187.5,,180,,,,,,180,5,B,Raw,RUS
Kazerskiy Alexei,100,99.4,M,M-O -AWPC,,,,,,162.5,170,177.5,,177.5,,,,,,177.5,6,B,Raw,RUS
Kambiyev Aslanbek,100,91.3,M,M-O -AWPC,,,,,,165,170,172.5,,172.5,,,,,,172.5,7,B,Raw,RUS
Vorobyev Dmitry,100,98.4,M,M-O -AWPC,,,,,,170,-175,-175,,170,,,,,,170,8,B,Raw,RUS
Safonov Alexander,100,99.1,M,M-O -AWPC,,,,,,152.5,162.5,-170,,162.5,,,,,,162.5,9,B,Raw,RUS
Velker Alexander,100,99.3,M,M-O -AWPC,,,,,,162.5,-167.5,-167.5,,162.5,,,,,,162.5,10,B,Raw,RUS
Chidingov Pavel,100,98.9,M,M-O -AWPC,,,,,,-160,-160,-160,,,,,,,,,DQ,B,Raw,RUS
Karapetyan-Mitsenko Suren,100,98,M,M-O -AWPC,,,,,,-190,-190,-190,,,,,,,,,DQ,B,Raw,RUS
Kurochkin Valery,100,99.25,M,M-O -AWPC,,,,,,-175,-175,-175,,,,,,,,,DQ,B,Raw,RUS
Smorkalov Alexei,100,100,M,M-O -AWPC,,,,,,-162.5,-162.5,-162.5,,,,,,,,,DQ,B,Raw,RUS
Karelin Dmitry,100,97.9,M,M-M -AWPC,,,,,,165,-170,170,,170,,,,,,170,1,B,Raw,RUS
Semenov Nikolai,100,100,M,M-M -AWPC,,,,,,135,142.5,147.5,,147.5,,,,,,147.5,2,B,Raw,RUS
Fadeyev Yevgeny,100,98.25,M,M-M -AWPC,,,,,,135,142.5,-147.5,,142.5,,,,,,142.5,3,B,Raw,RUS
Chidingov Pavel,100,98.9,M,M-M -AWPC,,,,,,-160,-160,-160,,,,,,,,,DQ,B,Raw,RUS
Shibayev Vladimir,100,98.85,M,M-M -AWPC,,,,,,165,175,180,,180,,,,,,180,1,B,Raw,RUS
Chygyrynskiy Volodymyr,100,95.05,M,M-M -AWPC,,,,,,110,,,,110,,,,,,110,2,B,Raw,UKR
Mandrygin Viktor,100,99.9,M,M-M -AWPC,,,,,,160,170,177.5,,177.5,,,,,,177.5,1,B,Raw,RUS
Panibratov Sergei,100,95,M,M-M -AWPC,,,,,,165,175,-180,,175,,,,,,175,2,B,Raw,RUS
Daniyelyan Sergei,100,98.25,M,M-M -AWPC,,,,,,150,-155,155,,155,,,,,,155,3,B,Raw,RUS
Kuzeyev Damir,100,99.95,M,M-M -AWPC,,,,,,162.5,172.5,-177.5,,172.5,,,,,,172.5,1,B,Raw,RUS
Borisov Vasyl,100,90.1,M,M-M -AWPC,,,,,,70,77.5,82.5,,82.5,,,,,,82.5,2,B,Raw,UKR
Mustafayev Zaur,110,105.5,M,M-T -AWPC,,,,,,130,145,-157.5,,145,,,,,,145,1,B,Raw,RUS
Shvetsov Stanislav,110,107.1,M,M-J -AWPC,,,,,,190,202.5,207.5,-220.5,207.5,,,,,,207.5,1,B,Raw,RUS
Magamedov Xazrat,110,108.45,M,M-J -AWPC,,,,,,150,-160,-160,,150,,,,,,150,2,B,Raw,AZE
Ibrahimov Ibrahim,110,109.45,M,M-O -AWPC,,,,,,200,-210,210,-220.5,210,,,,,,210,1,B,Raw,AZE
Zalyubovskiy Roman,110,102.5,M,M-O -AWPC,,,,,,187.5,192.5,195,,195,,,,,,195,2,B,Raw,RUS
Petrov Alexander,110,107.6,M,M-O -AWPC,,,,,,185,195,-200,,195,,,,,,195,3,B,Raw,RUS
Ogloblin Denis,110,108.2,M,M-O -AWPC,,,,,,187.5,190,-195,,190,,,,,,190,4,B,Raw,RUS
Baydin Maxim,110,106.25,M,M-O -AWPC,,,,,,180,185,-190,,185,,,,,,185,5,B,Raw,RUS
Makarov Mikhail,110,106.7,M,M-O -AWPC,,,,,,-175,180,185,,185,,,,,,185,6,B,Raw,RUS
Mazanov Sergei,110,108.9,M,M-O -AWPC,,,,,,-165,,,,,,,,,,,DQ,B,Raw,RUS
Ogloblin Denis,110,108.2,M,M-M -AWPC,,,,,,187.5,190,-195,,190,,,,,,190,1,B,Raw,RUS
Tereshchenko Alexei,110,109.25,M,M-M -AWPC,,,,,,167.5,172.5,-175,,172.5,,,,,,172.5,2,B,Raw,RUS
Vishnitskiy Pavel,110,109.1,M,M-M -AWPC,,,,,,135,142.5,145,,145,,,,,,145,3,B,Raw,RUS
Stolbov Andrei,110,109.6,M,M-M -AWPC,,,,,,160,170,175,,175,,,,,,175,1,B,Raw,RUS
Ugryumov Valery,110,101.5,M,M-M -AWPC,,,,,,122.5,130,-135,,130,,,,,,130,2,B,Raw,RUS
Terlitsa Viktor,110,102.9,M,M-M -AWPC,,,,,,-150,,,,,,,,,,,DQ,B,Raw,MLD
Gusev Vladimir,110,106.8,M,M-M -AWPC,,,,,,-170,,,,,,,,,,,DQ,B,Raw,RUS
Yegozaryan Grachik,110,108.8,M,M-M -AWPC,,,,,,170,180,-187.5,,180,,,,,,180,1,B,Raw,RUS
Balakirev Volodymyr,110,100.5,M,M-M -AWPC,,,,,,110,117.5,-122.5,,117.5,,,,,,117.5,1,B,Raw,UKR
Doronin Sergei,125,119.3,M,M-J -AWPC,,,,,,175,180,192.5,,192.5,,,,,,192.5,1,B,Raw,RUS
Bolgov Sergei,125,113.3,M,M-J -AWPC,,,,,,160,170,175,,175,,,,,,175,2,B,Raw,RUS
Zavgorodniy Andrei,125,122.1,M,M-O -AWPC,,,,,,220,230,-235,,230,,,,,,230,1,B,Raw,RUS
Kochmar Viktor,125,122,M,M-O -AWPC,,,,,,-205,210,-212.5,,210,,,,,,210,2,B,Raw,UKR
Muratov Denis,125,121.8,M,M-O -AWPC,,,,,,180,190,195,,195,,,,,,195,3,B,Raw,RUS
Butenko Yevgeny,125,120,M,M-O -AWPC,,,,,,185,-190,-192.5,,185,,,,,,185,4,B,Raw,RUS
Belousov Alexei,125,116.55,M,M-O -AWPC,,,,,,160,170,-175,,170,,,,,,170,5,B,Raw,RUS
Kharlamov Sergei,125,113.5,M,M-M -AWPC,,,,,,175,180,-185,,180,,,,,,180,1,B,Raw,RUS
Lukyanchik Yuri,125,122.5,M,M-M -AWPC,,,,,,135,140,-145,,140,,,,,,140,2,B,Raw,RUS
Solovey Igor,125,117.5,M,M-M -AWPC,,,,,,-150,,,,,,,,,,,DQ,B,Raw,RUS
Safarov Ramil,125,120.8,M,M-M -AWPC,,,,,,-177.5,-180,-187.5,,,,,,,,,DQ,B,Raw,RUS
Yagovkin Pavel,125,116.7,M,M-M -AWPC,,,,,,160,170,-180,,170,,,,,,170,1,B,Raw,RUS
Kirillov Sergei,125,110.1,M,M-M -AWPC,,,,,,135,140,,,140,,,,,,140,2,B,Raw,RUS
Mineyev Alexander,125,118.75,M,M-M -AWPC,,,,,,-90,-90,90,,90,,,,,,90,1,B,Raw,RUS
Melkozerov Andrei,140,127,M,M-O -AWPC,,,,,,212.5,-220,220,,220,,,,,,220,1,B,Raw,RUS
Kaushanskiy Denis,140,130.9,M,M-O -AWPC,,,,,,190,-202.5,-202.5,,190,,,,,,190,2,B,Raw,RUS
Gazdanov Vladimir,140,128,M,M-M -AWPC,,,,,,-185,185,-200,,185,,,,,,185,1,B,Raw,RUS
Smirnov Yuri,140+,140.1,M,M-O -AWPC,,,,,,212.5,220,-227.5,,220,,,,,,220,1,B,Raw,RUS
Naumov Alexander,140+,145.5,M,M-O -AWPC,,,,,,185,192.5,200,,200,,,,,,200,2,B,Raw,RUS
Starygina Natalya,56,55.9,F,F-O -WPC,100,110,117.5,,117.5,80,-85,-85,,80,110,122.5,-130,,122.5,320,1,SBD,Raw,RUS
Ignatovich Irina,56,55.9,F,F-O -WPC,110,,,,110,70,75,77.5,,77.5,120,130,-140,,130,317.5,2,SBD,Raw,RUS
Amelina Anastasiya,60,59.9,F,F-J (20 - 23) -WPC,-127.5,127.5,140.5,,140.5,62.5,67.5,70,,70,130,145,152.5,,152.5,363,1,SBD,Raw,RUS
Kalugina Tetyana,60,59.3,F,F-O -WPC,130,140,-145,,140,90,-95,95,,95,150,160,170,,170,405,1,SBD,Raw,UKR
Amelina Anastasiya,60,59.9,F,F-O -WPC,-127.5,127.5,140.5,,140.5,62.5,67.5,70,,70,130,145,152.5,-155,152.5,363,2,SBD,Raw,RUS
Povolotskaya Yelena,67.5,67,F,F-O -WPC,140,150,160,,160,85,92.5,97.5,,97.5,180,192.5,202.5,210,202.5,460,1,SBD,Raw,RUS
Venglovskaya Liliya,67.5,66.8,F,F-O -WPC,120,130,-145,,130,87.5,95,-100,,95,130,145,155,,155,380,2,SBD,Raw,MLD
Shmyrina Mariya,75,74,F,F-T (18 - 19) -WPC,80,90,100,,100,65,70,-72.5,,70,120,130,140,,140,310,1,SBD,Raw,RUS
Yudina Inna,75,73.6,F,F-O -WPC,-80,-80,80,,80,55,-65,-65,,55,100,115,,,115,250,1,SBD,Raw,UKR
Mironova Olga,82.5,81.3,F,F-T (18 - 19) -WPC,110,120,130,,130,40,50,52.5,,52.5,110,125,135,,135,317.5,1,SBD,Raw,RUS
Mironova Olga,82.5,81.3,F,F-O -WPC,110,120,130,,130,40,50,52.5,,52.5,110,125,135,,135,317.5,1,SBD,Raw,RUS
Gansh Yevgeniy,56,55.9,M,M-T (16-17) -WPC,125,130,-135,,130,80,85,-90,,85,165,175,180,,180,395,1,SBD,Raw,RUS
Beliyev Asif,56,55.5,M,M-O -WPC,110,120,130,135,130,82.5,87.5,,,87.5,150,160,170,,170,387.5,1,SBD,Raw,AZE
Gornyy Olexiy,60,58.7,M,M-T (16-17) -WPC,110,-122.5,122.5,,122.5,80,85,87.5,,87.5,120,132.5,140,150,140,350,1,SBD,Raw,UKR
Pyzhyanov Roman,60,59.7,M,M-T (18 - 19) -WPC,132.5,140,147.5,,147.5,95,100,-102.5,,100,170,180,185,,185,432.5,1,SBD,Raw,RUS
Eminov Elnur,60,59.45,M,M-O -WPC,140,160,170,-180,170,100,110,112.5,,112.5,190,210,225,-230,225,507.5,1,SBD,Raw,AZE
Fomin Daniil,67.5,64.3,M,M-T (16-17) -WPC,115,125,132.5,,132.5,82.5,90,95,,95,125,135,142.5,,142.5,370,1,SBD,Raw,UKR
Ustinov Vladimir,67.5,67.5,M,M-J (20 - 23) -WPC,185,195,205,,205,125,135,140,,140,195,205,215,,215,560,1,SBD,Raw,RUS
Kiselev Yuri,67.5,66.4,M,M-M (70 - 74) -WPC,95,110,,,110,75,80,-,,80,150,170,175,,175,365,1,SBD,Raw,RUS
Yurov Vyacheslav,75,74.25,M,M-T (18 - 19) -WPC,175,182.5,192.5,200,192.5,130,140,-145,,140,200,205,207.5,,207.5,540,1,SBD,Raw,RUS
Dekkert Yevgeny,75,74.5,M,M-J (20 - 23) -WPC,182.5,195,202.5,,202.5,-130,130,-140,,130,240,252.5,260,,260,592.5,1,SBD,Raw,RUS
