Name,State,Sex,Event,Age,Division,BodyweightLBS,WeightClassLBS,Squat1Kg,SquatKg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,,,,,
Anna Zak ,NC,M,SBD,,Teen 12-13,103.6,105,30,-40,-45,,15,19.5,-24.5,,,50,60,65,114.5,,,,,,
Jessica Smith ,NC,F,SBD,,Open,113.8,114,75,85,91.5,,45,47.5,48,-53,,100,110,117.5,122.5,#NAME?,,,,,
John Buck Ammons ,NC,M,SBD,,Open,111.4,114,75,82.5,92.5,,55,-57.5,-57.5,,,100,122.5,132.5,,280,,,,,
John Buck Ammons ,NC,M,SBD,,Teen 16-17,111.4,114,75,82.5,92.5,,55,-57.5,-57.5,,,100,122.5,132.5,,280,,,,,
Allison Broughton ,NC,F,SBD,,Open,122.8,123,70,75,-80,,40,-42.5,-42.5,,,75,80,85,,200,,,,,
Rachel Jordan ,NC,F,SBD,,Open,131.2,132,90,97.5,100,,57.5,62.5,67.5,,,117.5,125,130,,297.5,,,,,
Kate Rupert ,NC,F,SBD,,Open,147.6,148,-85,-95,-95,,60,-65,65,,,95,105,112.5,,,,,,,
Lori Bailey ,NC,F,SBD,,Open,140.2,148,80,-87.5,-96,,55,60,65.5,,145.5,80,92.5,107.5,,253,,,,,
Ben Zak ,NC,M,SBD,,Open,147.8,148,123,-130,90,,100,-105,,,,153,168,,,391,,,,,
Thomas Miele ,NC,M,SBD,,Teen 16-17,137.2,148,-75,75,77.5,,-50,-52.5,-52.5,,,100,105,110,,,,,,,
Hanna Holden ,NC,F,SBD,,Open,164,165,95,100,-108,,50,55,-57.5,,,110,120,127.5,-146.5,282.5,,,,,
Hanna Holden ,NC,F,SBD,,Teen 16-17,164,165,95,100,-108,,50,55,-57.5,,,110,120,127.5,-146.5,282.5,,,,,
Jenn Zak ,NC,F,SBD,,Open,154.6,165,82.5,87.5,,,45,50,-55,,,100,108,115,,252.5,,,,,
Jenn Zak ,NC,F,SBD,,Submasters 35-39,154.6,165,82.5,87.5,,,45,50,-55,,,100,108,115,,252.5,,,,,
Tim Metcalf ,NC,M,SBD,,Masters 55-59,165.2,165,80,92.5,-102.5,,92.5,102.5,-110,,,137.5,145,147.5,,342.5,,,,,
Kevin Outland ,NC,M,SBD,,Open,161,165,142.5,152.5,-160,,122.5,130,135,,,172.5,182.5,190,,477.5,,,,,
Kevin Outland ,NC,M,SBD,,Masters 45-49,161,165,142.5,152.5,-160,,122.5,130,135,,,172.5,182.5,190,,477.5,,,,,
Andrew Boca ,NC,M,SBD,,Teen 16-17,178.8,165,-92.5,92.5,100,,62.5,65,70,,,140,147.5,157.5,,327.5,,,,,
Carlita Farmer ,NC,F,SBD,,Open,179.6,181,125,142.5,155,,82.5,92.5,-97.5,,,165,185,192.5,197.5,440,,,,,
Allyson Sarnowski ,NC,F,SBD,,Open,180.8,181,55,62.5,67.5,,45,-47.5,-47.5,,,100,117.5,127.5,,240,,,,,
Carlita Farmer ,NC,F,SBD,,Juniors 20-24,179.6,181,125,142.5,155,,82.5,92.5,-97.5,,,165,185,192.5,197.5,440,,,,,
Allyson Sarnowski ,NC,F,SBD,,Teen 16-17,180.8,181,55,62.5,67.5,,45,-47.5,-47.5,,,100,117.5,127.5,,240,,,,,
Yogi Frank Sumner ,NC,M,SBD,,Masters 65-69,176,181,62.5,80,82.5,,70,75,80,,,115,120,125,287.5,,,,,,
Brandon Pettit ,NC,M,SBD,,Open,179.4,181,195,210,227.5,,110,120,135,,,235,260,285,,647.5,,,,,
Aryah Seymore ,NC,F,SBD,,Open,190.8,198,90,92.5,97.5,,60,62.5,65,,,125,132.5,137.5,,300,,,,,
Brandon Pettit ,NC,M,SBD,,Juniors 20-24,179.4,181,195,210,227.5,,110,120,135,,,235,260,285,,647.5,,,,,
Aryah Seymore ,NC,F,SBD,,Teen 14-15,190.8,198,90,92.5,97.5,,60,62.5,65,,,125,132.5,137.5,,300,,,,,
Josh Cue ,NC,M,SBD,,Open,196.8,198,165,180,190,,122.5,130,132.5,,,220,232.5,237.5,,560,,,,,
Mark Garrett ,VA,M,SBD,,Open,195.6,198,165,175,185,,127.5,132.5,-137.5,,,217.5,227.5,-235,,545,,,,,
Brian McIntyre ,VA,M,SBD,,Open,192.2,198,170,-180,180,,132.5,137.5,-142.5,,,192.5,205,-217.5,,522.5,,,,,
DeMarion Farmer ,NC,M,SBD,,Open,219.8,220,185,192.5,202.5,,142,152.5,-162.5,,,227.5,240,252.5,,607.5,,,,,
Donald Beishl ,NC,M,SBD,,Open,212,220,180,187.5,-192.5,,130,137.5,-137.5,,,225,-237.5,237.5,,562.5,,,,,
Mario Todorov ,NC,M,SBD,,Open,212.4,220,-182.5,-185,185,,142.5,-150,-150,,,195,-220,-220,,522.5,,,,,
Ray Berry ,NC,M,SBD,,Open,212.8,220,135,145,155,,125,132.5,140,,,185,195,200,,495,,,,,
Ira Brooks ,VA,M,SBD,,Open,217.6,220,115,122.5,-137.5,,92.5,-102.5,-102.5,,,137.5,147.5,160,,375,,,,,
Cameron Maxwell ,NJ,M,SBD,,Open,217.2,220,227.5,240.25,-250,,-185,-185,-185,,,260,-277.5,-277.5,,315.3,,,,,
Chance Henderson ,NC,M,SBD,,Open,219.8,220,-165,-165,-165,,92.5,100,-107.5,,,150,170,185,,120,,,,,
Gene Berry ,NC,M,SBD,,Open,241.2,242,190,-200,200,,140,145,150,,,195,205,217.5,,567.5,,,,,
Nolan Toti ,NC,M,SBD,,Open,235,242,142.5,162.5,190,,120,130,142.5,,,185,207.5,215,,547.5,,,,,
James Bright ,NC,M,SBD,,Open,281.2,308,185,200,205,,-100,100,-107.5,,,180,205,-207.5,,510,,,,,
Joey Markel ,NC,M,SBD,,Open,346.4,SHW,75,92.5,125,,75,80,85,,,150,172.5,182.5,,392.5,,,,,
Ray Berry ,NC,M,SBD,,Masters 55-59,212.8,220,135,145,155,,125,132.5,140,,,185,195,200,,495,,,,,
Ira Brooks ,VA,M,SBD,,Masters 70-74,217.6,220,115,122.5,-137.5,,92.5,-102.5,-102.5,,,137.5,147.5,160,,375,,,,,
Cameron Maxwell ,NJ,M,SBD,,Teen 18-19,217.2,220,227.5,240.25,-250,,-185,-185,-185,,,260,-277.5,-277.5,,315.3,,,,,
Chance Henderson ,NC,M,SBD,,Teen 16-17,219.8,220,-165,-165,-165,,92.5,100,-107.5,,,150,170,185,,120,,,,,
Gene Berry ,NC,M,SBD,,Masters 55-59,241.2,242,190,-200,200,,140,145,150,,,195,205,217.5,,567.5,,,,,
Nolan Toti ,NC,M,SBD,,Teen 16-17,235,242,142.5,162.5,190,,120,130,142.5,,,185,207.5,215,,547.5,,,,,
James Bright ,NC,M,SBD,,Teen 18-19,281.2,308,185,200,205,,-100,100,-107.5,,,180,205,-207.5,,510,,,,,
Joey Markel ,NC,M,SBD,,Juniors 20-24,346.4,SHW,75,92.5,125,,75,80,85,,,150,172.5,182.5,,392.5,,,,,
Ashely Christiansen ,NC,F,BD,,Teen 16-17,97,97,,,,,37.5,41,44,-46,,67.5,71.5,78,79.5,122,,,,,
Marshall Cooper ,NC,M,BD,,Youth,56.4,105,,,,,13,-16,-16,,,37.5,-47.5,-47.5,,50.5,,,,,
Jessica Smith ,NC,F,BD,,Open,113.8,114,,,,,45,47.5,48,,,48,100,110,,117.5,,,,,
John Buck Ammons ,NC,M,BD,,Open,111.4,114,,,,,55,-57.5,-57.5,,,100,122.5,132.5,,187.5,,,,,
Jessica Smith ,NC,F,BD,,Teen 16-17,113.8,114,,,,,45,47.5,48,,,48,100,110,,117.5,,,,,
John Buck Ammons ,NC,M,BD,,Teen 16-17,111.4,114,,,,,55,-57.5,-57.5,,,100,122.5,132.5,,187.5,,,,,
Dylan Cooper ,NC,M,BD,,Youth,108.2,114,,,,,19.5,-24.5,,,,50,-65,65,,84.5,,,,,
Kelly Wescott ,NC,F,BD,,Masters 55-59,127.6,132,,,,,52.5,57.5,60,61,57.5,67.5,77.5,,,85,,,,,
Rachel Jordan ,NC,F,BD,,Open,131.2,132,,,,,57.5,62.5,67.5,,,117.5,125,130,,197.5,,,,,
Lauren Cooper ,NC,F,BD,,Open,132.2,132,,,,,45,47.5,-52.5,,,100,112.5,122.5,,170,,,,,
Kate Rupert ,NC,F,BD,,Open,147.6,148,,,,,60,-65,65,,,95,105,112.5,,177.5,,,,,
Rachel Jordan ,NC,F,BD,,Juniors 20-24,131.2,132,,,,,57.5,62.5,67.5,,,117.5,125,130,,197.5,,,,,
Lauren Cooper ,NC,F,BD,,Teen 18-19,132.2,132,,,,,45,47.5,-52.5,,,100,112.5,122.5,,170,,,,,
Kate Rupert ,NC,F,BD,,Masters 40-44,147.6,148,,,,,60,-65,65,,,95,105,112.5,,177.5,,,,,
Fred Wescott ,NC,M,BD,,Masters 60-64,148,148,,,,,85,-92.5,,,,170,182.5,-192.5,,267.5,,,,,
Ben Zak ,NC,M,BD,,Open,147.8,148,,,,,90,100,-105,,,153,168,,,268,,,,,
Ben Zak ,NC,M,BD,,Masters 45-49,147.8,148,,,,,90,100,-105,,,153,168,,,268,,,,,
Thomas Miele ,NC,M,BD,,Teen 16-17,137.2,148,,,,,-50,-52.5,-52.5,,,100,105,110,,,,,,,
Hanna Holden ,NC,F,BD,,Open,164,165,,,,,50,55,-57.5,,,110,120,127.5,,146.5,,,,,
Jenn Zak ,NC,F,BD,,Open,154.6,165,,,,,45,50,-55,,,100,108,115,,165,,,,,
Hanna Holden ,NC,F,BD,,Teen 16-17,164,165,,,,,50,55,-57.5,,,110,120,127.5,146.5,182.5,,,,,
Jenn Zak ,NC,F,BD,,Submasters 35-39,154.6,165,,,,,45,50,-55,,,100,108,115,,165,,,,,
Kristina-Marie Coleman,VA,F,BD,,Teen 18-19,157.2,165,,,,,67.5,77.5,-85,,,122.5,147.5,152.5,,230,,,,,
Kevin Outland ,NC,M,BD,,Open,161,165,,,,,122.5,130,135,,,172.5,182.5,190,,325,,,,,
Kevin Outland ,NC,M,BD,,Masters 45-49,161,165,,,,,122.5,130,135,,,172.5,182.5,190,,325,,,,,
Yogi Frank Sumner ,NC,M,BD,,Masters 65-69,176,181,,,,,70,75,80,,,115,120,125,,205,,,,,
Hyacinth Joseph ,NC,F,BD,,Masters 55-59,190.4,198,,,,,72.5,80,-82.5,,,100,117.5,125,127.5,205,,,,,
Ray Berry ,NC,M,BD,,Open,212.8,220,,,,,125,132.5,140,,,185,195,200,,340,,,,,
Chance Henderson ,NC,M,BD,,Open,219.8,220,,,,,92.5,100,-107.5,,,150,170,185,,285,,,,,
Ira Brooks ,VA,M,BD,,Open,217.6,220,,,,,92.5,-102.5,-102.5,,,137.5,,,,230,,,,,
Gene Berry ,NC,M,BD,,Open,241.2,242,,,,,140,145,150,,,195,205,217.5,,367.5,,,,,
Nolan Toti ,NC,M,BD,,Open,235,242,,,,,120,130,142.5,,,185,207.5,215,,357.5,,,,,
Ray Berry ,NC,M,BD,,Masters 55-59,212.8,220,,,,,125,132.5,140,,,185,195,200,,340,,,,,
Chance Henderson ,NC,M,BD,,Teen 16-17,219.8,220,,,,,92.5,100,-107.5,,,150,170,185,,285,,,,,
Ira Brooks ,VA,M,BD,,Masters 70-74,217.6,220,,,,,92.5,-102.5,-102.5,,,137.5,,,,230,,,,,
Gene Berry ,NC,M,BD,,Masters 55-59,241.2,242,,,,,140,145,150,,,195,205,217.5,,367.5,,,,,
Nolan Toti ,NC,M,BD,,Teen 16-17,235,242,,,,,120,130,142.5,,,185,207.5,215,,357.5,,,,,
Samuel Kurtich ,NC,M,BD,,Teen 14-15,237.5,242,,,,,50,52.5,-55,,,100,110,125,,177.5,,,,,
James Bright ,NC,M,BD,,Open,281.2,308,,,,,-100,100,-107.5,,,180,205,-207.5,,305,,,,,
Joey Markel ,NC,M,BD,,Open,346.4,SHW,,,,,75,80,85,,,150,172.5,182.5,,267.5,,,,,
Jessica Smith ,NC,F,B,,Open,113.8,114,,,,,45,47.5,48,-53,,,,,,48,,,,,
John Buck Ammons ,NC,M,B,,Open,111.4,114,,,,,55,-57.5,-57.5,,,,,,,55,,,,,
James Bright ,NC,M,BD,,Teen 18-19,281.2,308,,,,,-100,100,-107.5,,,180,205,-207.5,,305,,,,,
Joey Markel ,NC,M,BD,,Juniors 20-24,346.4,SHW,,,,,75,80,85,,,150,172.5,182.5,,267.5,,,,,
Jessica Smith ,NC,F,B,,Teen 16-17,113.8,114,,,,,45,47.5,48,-53,,,,,,48,,,,,
John Buck Ammons ,NC,M,B,,Teen 16-17,111.4,114,,,,,55,-57.5,-57.5,,,,,,,55,,,,,
Dylan Cooper ,NC,M,B,,Youth,108.2,114,,,,,19.5,-24.5,19.5,,,,,,,19.5,,,,,
Rachel Jordan ,NC,F,B,,Juniors 20-24,131.2,132,,,,,57.5,62.5,67.5,,,,,,,67.5,,,,,
Kelly Wescott ,NC,F,B,,Masters 55-59,127.6,132,,,,,52.5,57.5,60,61,,,,,,60,,,,,
Lauren Cooper ,NC,F,B,,Teen 18-19,132.2,132,,,,,45,47.5,-52.5,,,,,,,47.5,,,,,
Kate Rupert ,NC,F,B,,Open,147.6,148,,,,,60,-65,65,,,,,,,65,,,,,
Tim Metcalf ,NC,M,B,,Masters 55-59,165.2,148,,,,,92.5,102.5,-110,,,,,,,102.5,,,,,
Ben Zak ,NC,M,B,,Masters 45-49,147.8,148,,,,,90,100,-105,,,,,,,100,,,,,
Fred Wescott ,NC,M,B,,Masters 60-64,148,148,,,,,85,-92.5,85,,,,,,,85,,,,,
Thomas Miele ,NC,M,B,,Teen 16-17,137.2,148,,,,,-50,-52.5,-52.5,,,,,,,,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,,,,,142.5,-145,-145,,,,,,,142.5,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,,,,,142.5,-145,-145,,,,,,,142.5,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,,,,,142.5,-145,-145,,,,,,,142.5,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,,,,,142.5,-145,-145,,,,,,,142.5,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,,,,,142.5,-145,-145,,,,,,,142.5,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,,,,,145,150,155,,,,,,,155,,,,,
Kristina-Marie Coleman,VA,F,B,,Teen 18-19,157.2,165,,,,,67.5,77.5,-85,,,,,,,77.5,,,,,
Hanna Holden ,NC,F,B,,Teen 16-17,164,165,,,,,50,55,-57.5,,,,,,,55,,,,,
Jenn Zak ,NC,F,B,,Submasters 35-39,154.6,165,,,,,45,50,-55,,,,,,,50,,,,,
Yogi Frank Sumner ,NC,M,B,,Masters 65-69,176,181,,,,,70,75,80,,,,,,,80,,,,,
John Cooper ,NC,M,B,,Masters 40-44,196.6,198,,,,,137.5,140,142.5,,,,,,,142.5,,,,,
Ray Matusko ,NC,M,B,,Masters 50-54,217.2,220,,,,,150,162.5,-170,,,,,,,162.5,,,,,
Ray Berry ,NC,M,B,,Masters 55-59,212.8,220,,,,,125,132.5,140,,,,,,,140,,,,,
Ira Brooks ,VA,M,B,,Masters 70-74,217.6,220,,,,,92.5,-102.5,-102.5,,,,,,,92.5,,,,,
Chance Henderson ,NC,M,B,,Teen 16-17,219.8,220,,,,,92.5,100,-107.5,,,,,,,100,,,,,
Gary Edwards ,NC,M,B,,Law/Fire/Military,240,242,,,,,-145,145,150,,,,,,,150,,,,,
Gary Edwards ,NC,M,B,,Masters 50-54,240,242,,,,,-145,145,150,,,,,,,150,,,,,
Gene Berry ,NC,M,B,,Masters 55-59,241.2,242,,,,,140,145,150,,,,,,,150,,,,,
James Clark ,NC,M,B,,Masters 60-64,226.2,242,,,,,115,124,125,,,,,,,125,,,,,
Raven Atkins ,NC,M,B,,Teen 14-15,229.6,242,,,,,-72.5,72.5,80,,,,,,,80,,,,,
Samuel Kurtich ,NC,M,B,,Teen 14-15,237.5,242,,,,,50,52.5,-55,,,,,,,52.5,,,,,
Chris Ritter ,NC,M,B,,Teen 16-17,233.6,242,,,,,-90,-90,-92.5,,,,,,,,,,,,
Patrick McMillan ,VA,M,B,,Law/Fire/Military,270,275,,,,,190,200,206,210,,,,,,206,,,,,
Patrick McMillan ,VA,M,B,,Open,270,275,,,,,190,200,206,210,,,,,,206,,,,,
Clifton Burse ,VA,M,B,,Open,273.2,275,,,,,-197.5,197.5,-206,,,,,,,197.5,,,,,
Matt Beickert ,NC,M,B,,Law/Fire/Military,265,275,,,,,142.5,152.5,-160,,,,,,,152.5,,,,,
Carl Elliott ,NC,M,B,,Law/Fire/Military,286,308,,,,,190,200,205,-210,,,,,,205,,,,,
Matt Beickert ,NC,M,B,,Open,265,275,,,,,142.5,152.5,-160,,,,,,,152.5,,,,,
Carl Elliott ,NC,M,B,,Open,286,308,,,,,190,200,205,-210,,,,,,205,,,,,
James Bright ,NC,M,B,,Open,281.2,308,,,,,-100,100,-107.5,,,,,,,100,,,,,
Joey Markel ,NC,M,B,,Open,346.4,SHW,,,,,75,80,85,,,,,,,85,,,,,
Patrick McMillan ,VA,M,B,,Masters 40-44,270,275,,,,,190,200,206,210,,,,,,206,,,,,
Clifton Burse ,VA,M,B,,Masters 55-59,273.2,275,,,,,-197.5,197.5,-206,,,,,,,197.5,,,,,
Matt Beickert ,NC,M,B,,Masters 45-49,265,275,,,,,142.5,152.5,-160,,,,,,,152.5,,,,,
Carl Elliott ,NC,M,B,,Masters 40-44,286,308,,,,,190,200,205,-210,,,,,,205,,,,,
James Bright ,NC,M,B,,Teen 18-19,281.2,308,,,,,-100,100,-107.5,,,,,,,100,,,,,
Joey Markel ,NC,M,B,,Juniors 20-24,346.4,16,,,,,75,80,85,,,,,,,85,,,,,
Marshall Cooper ,NC,M,D,,Youth,56.4,105,,,,,,,,,,37.5,-47.5,-47.5,,37.5,,,,,
Jessica Smith ,NC,F,D,,Teen 16-17,113.8,114,,,,,,,,,,100,110,117.5,122.5,117.5,,,,,
John Buck Ammons ,NC,M,D,,Open,111.4,114,,,,,,,,,,100,122.5,132.5,,132.5,,,,,
John Buck Ammons ,NC,M,D,,Teen 16-17,111.4,114,,,,,,,,,,100,122.5,132.5,,132.5,,,,,
Dylan Cooper ,NC,M,D,,Youth,108.2,114,,,,,,,,,,50,-65,65,,65,,,,,
Rachel Jordan ,NC,F,D,,Open,131.2,132,,,,,,,,,,117.5,125,130,,130,,,,,
Lauren Cooper ,NC,F,D,,Open,132.2,132,,,,,,,,,,100,112.5,122.5,,122.5,,,,,
Kelly Wescott ,NC,F,D,,Open,127.6,132,,,,,,,,,,57.5,67.5,77.5,85,77.5,,,,,
Fred Wescott ,NC,M,D,,Open,148,148,,,,,,,,,,170,182.5,-192.5,,182.5,,,,,
Ben Zak ,NC,M,D,,Open,147.8,148,,,,,,,,,,153,168,,,168,,,,,
Tim Metcalf ,NC,M,D,,Open,165.2,148,,,,,,,,,,137.5,145,147.5,,147.5,,,,,
Thomas Miele ,NC,M,D,,Open,137.2,148,,,,,,,,,,100,105,110,,110,,,,,
Rachel Jordan ,NC,F,D,,Juniors 20-24,131.2,132,,,,,,,,,,117.5,125,130,,130,,,,,
Lauren Cooper ,NC,F,D,,Teen 18-19,132.2,132,,,,,,,,,,100,112.5,122.5,,122.5,,,,,
Kelly Wescott ,NC,F,D,,Masters 55-59,127.6,132,,,,,,,,,,57.5,67.5,77.5,85,77.5,,,,,
Fred Wescott ,NC,M,D,,Masters 60-64,148,148,,,,,,,,,,170,182.5,-192.5,,182.5,,,,,
Ben Zak ,NC,M,D,,Masters 45-49,147.8,148,,,,,,,,,,153,168,,,168,,,,,
Tim Metcalf ,NC,M,D,,Masters 55-59,165.2,148,,,,,,,,,,137.5,145,147.5,,147.5,,,,,
Thomas Miele ,NC,M,D,,Teen 16-17,137.2,148,,,,,,,,,,100,105,110,,110,,,,,
Kristina-Marie Coleman,VA,F,D,,Teen 18-19,157.2,165,,,,,,,,,,122.5,147.5,152.5,,152.5,,,,,
Hanna Holden ,NC,F,D,,Teen 16-17,164,165,,,,,,,,,,110,120,127.5,-147,127.5,,,,,
Jenn Zak ,NC,F,D,,Sub-Masters 35-39,154.6,165,,,,,,,,,,100,108,115,,115,,,,,
Hanna Holden ,NC,F,D,,Open,164,165,,,,,,,,,,110,120,127.5,,127.5,,,,,
Jenn Zak ,NC,F,D,,Open,154.6,165,,,,,,,,,,100,108,115,,115,,,,,
Garrett Hence ,VA,M,D,,Open,179.4,181,,,,,,,,,,-292.5,-292.5,-292.5,,,,,,,
Cameron Maxwell ,NJ,M,D,,Open,217.2,220,,,,,,,,,,260,-277.5,-277.5,,260,,,,,
Ray Berry ,NC,M,D,,Open,212.8,220,,,,,,,,,,185,195,200,,200,,,,,
Chance Henderson ,NC,M,D,,Open,219.8,220,,,,,,,,,,150,170,185,,185,,,,,
Ira Brooks ,VA,M,D,,Open,217.6,220,,,,,,,,,,137.5,147.5,160,,160,,,,,
Gene Berry ,NC,M,D,,Open,241.2,242,,,,,,,,,,195,205,217.5,,217.5,,,,,
Nolan Toti ,NC,M,D,,Open,235,242,,,,,,,,,,185,207.5,215,,215,,,,,
Chris Ritter ,NC,M,D,,Open,233.6,242,,,,,,,,,,150,155,-160,,155,,,,,
Samuel Kurtich ,NC,M,D,,Open,237.5,242,,,,,,,,,,100,110,125,,125,,,,,
Cameron Maxwell ,NJ,M,D,,Teen 18-19,217.2,220,,,,,,,,,,260,-277.5,-277.5,,260,,,,,
Ray Berry ,NC,M,D,,Masters 55-59,212.8,220,,,,,,,,,,185,195,200,,200,,,,,
Chance Henderson ,NC,M,D,,Teen 16-17,219.8,220,,,,,,,,,,150,170,185,,185,,,,,
Ira Brooks ,VA,M,D,,Masters 70-74,217.6,220,,,,,,,,,,137.5,147.5,160,,160,,,,,
Gene Berry ,NC,M,D,,Masters 55-59,241.2,242,,,,,,,,,,195,205,217.5,,217.5,,,,,
Nolan Toti ,NC,M,D,,Teen 16-17,235,242,,,,,,,,,,185,207.5,215,,215,,,,,
Chris Ritter ,NC,M,D,,Teen 16-17,233.6,242,,,,,,,,,,150,155,-160,,155,,,,,
Samuel Kurtich ,NC,M,D,,Teen 14-15,237.5,242,,,,,,,,,,100,110,125,,125,,,,,
Bob Shirley ,VA,M,D,,Masters 60-64,265,275,,,,,,,,,,175,185,-190,,185,,,,,
Marni Frandson,NE,F,SBD,,Open,35-39,103,105,65,,73,75,,-77.5,35,40,45,,120,80,87.5,97.5,217.5,479.5,,
Andrea Golden,IA,F,SBD,,Juniors 20-24,130,132,92.5,,97.5,-105,47.5,,50,-52.5,147.5,127.5,,137.5,-145,285,628.3,,,,
Cameron Fisher,NE,M,SBD,,Teen 14-15,144.5,148,-65,,67.5,77.5,60,,67.5,70,147.5,110,,115,125,272.5,600.8,,,,
Jamie Holmberg,IA,F,SBD,,Teen 18-19,147,148,-105,,-107.5,-107.5,-55,,55,57.5,-47.5,107.5,,117.5,130,82.5,181.9,,,,
Ashley Galvan,NE,F,SBD,,Open,144,148,85,,95,,55,,-60,-60,150,112.5,,-125,,262.5,578.7,,,,
Rachael Johnson,NE,F,SBD,,Open,148,148,95,,105,112.5,62.5,,67.5,72.5,185,110,,127.5,137.5,322.5,711,,,,
Stan Lysholm,IA,M,SBD,,Open,145,148,160,,172.5,185,100,,105,-107.5,290,185,,202.5,212.2,502.2,1107,,,,
Levi Graybill,NE,M,SBD,,Juniors 20-24,163.5,165,-122.5,,130,-142.5,122.5,,-127.5,-127.5,252.5,172.5,,180,182.5,435,959,,,,
Ronnie Powell,NE,M,SBD,,Masters 65-69,164,165,102.5,,115,125,107.5,,117.5,,242.5,202.5,,,,445,981,,,,
Charles Edward,IA,M,SBD,,PFM,157,165,155,,185,192.5,107.5,,115,-127.5,307.5,172.5,,195,-212.5,502.5,1107.8,,,,
Susan Casey,IA,F,SBD,,Masters 45-49,181,181,77.5,,85,97.5,47.5,,52.5,57.5,155,90,,97.5,102.5,257.5,567.7,,,,
Shane Sheets,WY,M,SBD,,Masters 50-54,177.5,181,95,,100,105,95,,100,-105,205,147.5,,152.5,155,360,793.7,,,,
Hannah Dorcey,NE,F,SBD,,Open,181,181,85,,92.5,-95,55,,57.5,-62.5,150,110,,117.5,125,275,606.3,,,,
Brandon Mitzel,IA,M,SBD,,Juniors 20-24,197,198,192.5,,205,212.5,127.5,,135.5,-142.5,348,235,,-245,-245,583,1285.3,,,,
Jay Petersen,NE,M,SBD,,Open,197,198,210,,215,-217.5,130,,137.5,-142.5,352.5,267.5,,277.5,282.5,635,1399.9,,,,
Angela Hobbs,NE,F,SBD,,Open,196,198,137.5,,145,150,75,,80,-85,230,160,,172.5,185,415,914.9,,,,
Don McReynolds,NE,M,SBD,,Masters 45-49,346.5,shw,150,,-165,172.5,147,,160,-182.5,332.5,265,,280,295,627.5,1383.4,,,,
Marni Frandson,NE,F,B,,Open,35-39,105,,,,,35,40,,45,45,,,,,45,99.2,,,,
Rachael Johnson,NE,F,B,,Open,148,,,,,62.5,67.5,72.5,,8,72.5,,,,,72.5,159.8,,,,
Viet Tran,NE,M,B,,Masters 40-44,143.5,148,,,,,152.5,157.5,,160,-162.5,160,,,,,160,352.7,,,
Pat Baird,NE,M,B,,Masters 45-49,177,181,,,,,130,-137.5,,137.5,137.5,,,,,137.5,303.1,,,,
Mike Stanchfield,MN,M,B,,Masters 45-49,177.5,181,,,,,130,140,,147.5,147.5,,,,,147.5,325.2,,,,
Chris Walter,NE,M,B,,Masters 40-44,205,220,,,,,200,-207.5,,207.5,210,210,,,,,210,463,,,
Jeremey Meyer,NE,M,B,,Submasters 35-39,PFM,220,242,,,,,190,,195,-200,195,,,,,195,429.9,,,
Clayton Boeke,IA,M,B,,Teen 14-15,235.5,242,,,,,125,135,,-142.5,135,,,,,135,297.6,,,,
John Probasco,NE,M,B,,Masters 50-54,241.5,242,,,,,152.5,155,,,155,,,,,155,341.7,,,,
Michael Madigan,CO,M,B,,Masters 55-59,294,308,,,,,155,-170,,-170,155,,,,,155,341.7,,,,
Marni Frandson,NE,F,D,,Open,35-39,103,105,,,,,,,,,,80,,87.5,97.5,97.5,214.9,,,
Mike Stanchfield,MN,M,D,,Masters 45-49,177.5,181,,,,,,,,,,170,185,,200,200,440.9,,,,
Gary Wallace,NE,M,D,,Submasters 35-39,194.5,198,,,,,,,,,,215,227.5,,235,235,518.1,,,,
Jay Petersen,NE,M,D,,Open,197,198,,,,,,,,,,267.5,277.5,,282.5,282.5,622.8,,,,
Brian Tippery,IA,M,D,,Masters 45-49,242,242,,,,,,,,,,165,182.5,,200,200,440.9,,,,
August Yoder,NE,M,BD,,Teen 16-17,165,165,,,,,105,110,,-115,110,165,177.5,,-187.5,287.5,633.8,,,,
Jake Garner,NE,M,BD,,Juniors 20-24,162.5,165,,,,,105,110,,115,115,165,177.5,,190,305,672.4,,,,
Ronnie Powell,NE,M,BD,,Masters 65-69,164,165,,,,,107.5,117.5,,117.5,202.5,320,705.5,,,,,,,,
Rickey Nelsen,SD,M,BD,,Open,155.5,165,,,,,120,132.5,,-140,132.5,150,170,,-180,302.5,666.9,,,,
