OPL Format v1,Submit by email:,issues@openpowerlifting.org,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Formula,,,,,,,,,,,,,,,,,,,
9,Shan Mathew Tuazon,,M,2004,18,,,Raw,Men's Junior,73.9,74,150,155,160,160,65,70,-72.5,70,165,-172.5,-175,165,395,SBD
10,Raj Reiner Cattiling,,M,2004,18,,,Raw,Men's Junior,73.9,74,145,152.5,-157.5,152.5,65,70,-72.5,70,-150,160,-167.5,160,382.5,SBD
DQ,James Emmanuel Sy,,M,2001,22,,,Raw,Men's Junior,73.25,74,225,235,-245,235,120,130,-135,130,-285,-285,-285,,,SBD
1,Mark Jason Galauran,,M,2002,20,,,Raw,Men's Junior,81.6,83,232.5,250,-252.5,250,150,160,-170.5,160,260,-280,280,280,690,SBD
2,Irvinne Fritz Espinosa,,M,2000,22,,,Raw,Men's Junior,82.58,83,195,-202.5,-202.5,195,122.5,132.5,-137.5,132.5,260,272.5,-285,272.5,600,SBD
3,Angelo Noe Panerio,,M,2000,23,,,Raw,Men's Junior,79.3,83,215,227.5,-232.5,227.5,115,120,-122.5,120,230,240,-257.5,240,587.5,SBD
4,Emmanuel Ray Medalle,,M,2000,22,,,Raw,Men's Junior,81.65,83,180,-190,190,190,122.5,127.5,132.5,132.5,217.5,227.5,232.5,232.5,555,SBD
5,Joseph Vincent Jerusalem,,M,2003,20,,,Raw,Men's Junior,82.1,83,197.5,205,-210,205,110,115,-120,115,-220,220,232.5,232.5,552.5,SBD
6,Jan Kezia Ezekiel Suarez,,M,2001,22,,,Raw,Men's Junior,77.25,83,185,195,-205,195,105,110,115,115,220,235,240,240,550,SBD
7,Patrick David,,M,2003,20,,,Raw,Men's Junior,82.55,83,-180,180,-195,180,-120,125,-130,125,230,-240,240,240,545,SBD
8,Aaron Joshua Figuera,,M,2000,22,,,Raw,Men's Junior,75.7,83,180,190,-200,190,107.5,115,120,120,192.5,205,215,215,525,SBD
9,Renzo Basiao,,M,2003,19,,,Raw,Men's Junior,,83,65,140,165,165,102.5,105,112.5,112.5,165,190,-205,190,467.5,SBD
10,Daniel Ralph Bitas,,M,2004,18,,,Raw,Men's Junior,80.4,83,145,155,-167.5,155,100,-105,105,105,180,-200,200,200,460,SBD
11,Jose Jericho Acot,,M,2002,21,,,Raw,Men's Junior,,83,150,160,-170,160,85,87.5,92.5,92.5,190,-205,205,205,457.5,SBD
12,Dwight Michael Marajas,,M,2000,23,,,Raw,Men's Junior,81.7,83,137.5,145,155,155,92.5,100,,100,192.5,197.5,-202.5,197.5,452.5,SBD
13,Clark Kenji Chua,,M,2001,22,,,Raw,Men's Junior,81.75,83,140,150,-157.5,150,90,97.5,-105,97.5,175,185,192.5,192.5,440,SBD
14,Raven Rainier Eusebio,,M,2004,18,,,Raw,Men's Junior,81,83,135,-145,152.5,152.5,70,80,-82.5,80,170,182.5,185,185,417.5,SBD
15,Nathaniel Eidrian Gonzales,,M,2001,21,,,Raw,Men's Junior,80.35,83,135,145,-150,145,90,95,-97.5,95,165,-175,175,175,415,SBD
16,Sebastianne Uly Garces,,M,2000,22,,,Raw,Men's Junior,80.5,83,130,140,150,150,65,75,-77.5,75,170,180,-187.5,180,405,SBD
1,John Alejo Nefalar,,M,2002,20,,,Raw,Men's Junior,90.95,93,227.5,237.5,245.5,245.5,147.5,155,160,160,245,260,270.5,270.5,676,SBD
2,Owen Dela Cruz,,M,2003,19,,,Raw,Men's Junior,91.2,93,205,215,227.5,227.5,132.5,-147.5,150,150,235,260,-265,260,637.5,SBD
3,Carlo Dumancas,,M,2002,21,,,Raw,Men's Junior,90.15,93,190,207.5,220,220,135,140,145,145,240,-250,-250,240,605,SBD
4,Ronel Richard Santos,,M,2001,21,,,Raw,Men's Junior,,93,-200,205,-215,205,107.5,112.5,117.5,117.5,245,260,-271,260,582.5,SBD
5,Cedrick Ryan Lubosana,,M,2003,20,,,Raw,Men's Junior,92.25,93,190,200,210,210,105,112.5,117.5,117.5,220,235,-245,235,562.5,SBD
6,James Marius De Luna,,M,2003,19,,,Raw,Men's Junior,92.4,93,175,182.5,195,195,90,97.5,102.5,102.5,240,257.5,-271.5,257.5,555,SBD
7,Ralph Basco,,M,2004,19,,,Raw,Men's Junior,92.05,93,190,200,210,210,100,-105,105,105,210,220,-225,220,535,SBD
8,Ivan Genoguin,,M,2000,22,,,Raw,Men's Junior,86.4,93,185,-192.5,192.5,192.5,95,107.5,-112.5,107.5,197.5,205,212.5,212.5,512.5,SBD
9,Zbastian Borgy Manalastas,,M,2001,22,,,Raw,Men's Junior,90.8,93,167.5,180,-190,180,102.5,-112.5,-112.5,102.5,185,192.5,200,200,482.5,SBD
10,John J-Lo Bermundo,,M,2003,20,,,Raw,Men's Junior,92.2,93,-175,-175,180,180,-87.5,92.5,-97.5,92.5,210,-220,-225,210,482.5,SBD
DQ,Jerome Manuel Verano,,M,2000,22,,,Raw,Men's Junior,89.5,93,182.5,190,195,195,-127.5,-127.5,-127.5,,-200,200,230,230,,SBD
1,Rhodison Jay Esmundo,,M,2002,21,,,Raw,Men's Junior,103.2,105,-235,240,242.5,242.5,135,145,-150,145,255,-265,265,265,652.5,SBD
2,Jalen Cytienne Cruz,,M,2000,22,,,Raw,Men's Junior,99.55,105,220,-227.5,230,230,127.5,132.5,-137.5,132.5,250,-260,262.5,262.5,625,SBD
3,Ken Andrey Austria,,M,2002,20,,,Raw,Men's Junior,96.9,105,212.5,222.5,230,230,155,163,-167.5,163,-220,230,-235,230,623,SBD
4,Ethan Daniel S. Saballa,,M,2003,19,,,Raw,Men's Junior,96.75,105,190,200,210,210,140,145,-147.5,145,210,220,227.5,227.5,582.5,SBD
5,Ronald Marling,,M,2003,19,,,Raw,Men's Junior,102.95,105,187.5,-195,200,200,107.5,110,-115,110,215,-222.5,-222.5,215,525,SBD
6,Francis Labrillaso,,M,2003,19,,,Raw,Men's Junior,101.1,105,180,185,187.5,187.5,100,110,112.5,112.5,180,185,200,200,500,SBD
7,Bruce N. Evardone Custodio,,M,2000,23,,,Raw,Men's Junior,103.75,105,165,175,-182.5,175,85,-95,-95,85,215,227.5,-235,227.5,487.5,SBD
8,Jose Enrique Guevara,,M,2001,22,,,Raw,Men's Junior,96.85,105,100,105,-115,105,-80,-85,85,85,-120,120,135,135,325,SBD
1,Ross Emanuel Teodosio,,M,2002,21,,,Raw,Men's Junior,118.4,120,290,310,-320,310,165,175,-180,175,290,300,305,305,790,SBD
2,Francis Rodrimar Segovia,,M,2001,21,,,Raw,Men's Junior,110.6,120,200,-202.5,220,220,95,105,110,110,200,210,220,220,550,SBD
3,Johann Robin Yee,,M,2002,20,,,Raw,Men's Junior,111.5,120,182.5,192.5,200,200,110,117.5,122.5,122.5,185,195,205,205,527.5,SBD
4,Warren Angelo Tumolva,,M,2003,20,,,Raw,Men's Junior,105.7,120,180,187.5,-192.5,187.5,100,105,-110,105,180,190,195,195,487.5,SBD
1,Maro Yarza,,M,2000,22,,,Raw,Men's Junior,121.8,120+,225,235,240,240,130,132.5,-135,132.5,250,265,272.5,272.5,645,SBD
2,Aaron Manuel Seguin,,M,2002,20,,,Raw,Men's Junior,129.4,120+,-172.5,175,185,185,100,107.5,-112.5,107.5,190,200,-205,200,492.5,SBD
1,Nizzar Khan Jannaral,,M,1983,40,,,Raw,Men's Master 1,70.8,74,140,150,155,155,90,-95,-95,90,180,192.5,-197.5,192.5,437.5,SBD
1,Christian Atlas Singson,,M,1978,44,,,Raw,Men's Master 1,81.7,83,150,157.5,167.5,167.5,95,100,-102.5,100,180,187.5,197.5,197.5,465,SBD
2,Marco Harder,,M,1983,39,,,Raw,Men's Master 1,,83,135,145,155,155,87.5,92.5,-100,92.5,170,180,190,190,437.5,SBD
3,Linus Tiu,,M,1977,45,,,Raw,Men's Master 1,75.25,83,125,132.5,140,140,80,85,-92.5,85,160,170,180,180,405,SBD
1,Jalton Taguibao,,M,1977,45,,,Raw,Men's Master 1,87.95,93,165,-175,,165,100,110,117.5,117.5,177.5,187.5,195,195,477.5,SBD
2,Harvinder Singh,,M,1978,45,,,Raw,Men's Master 1,90.95,93,170,-175,175,175,90,97.5,100,100,180,192.5,-195,192.5,467.5,SBD
3,Kendrick Go,,M,1975,48,,,Raw,Men's Master 1,90,93,142.5,150,155,155,70,77.5,80,80,160,167.5,-170,167.5,402.5,SBD
1,Romar Natividad,,M,1980,43,,,Raw,Men's Master 1,96.7,105,205,-215,-220,205,130,-140,140,140,240,250,-272.5,250,595,SBD
2,Gervacio Magno,,M,1980,42,,,Raw,Men's Master 1,102.7,105,-167.5,167.5,182.5,182.5,80,-87.5,87.5,87.5,215,225,232.5,232.5,502.5,SBD
1,Romulo Marco Sales,,M,1978,44,,,Raw,Men's Master 1,107,120,-200,211,215,215,137.5,142.5,145,145,215,222.5,-225,222.5,582.5,SBD
2,Ivan Thorin Mantilla,,M,1983,39,,,Raw,Men's Master 1,108.7,120,180,190,-195,190,120,127.5,-130,127.5,230,235.5,-240,235.5,553,SBD
3,Valson Bautista,,M,1980,42,,,Raw,Men's Master 1,111.2,120,185,-192.5,195,195,115,117.5,120,120,207.5,210,212.5,212.5,527.5,SBD
4,Mark Alexander De Joya,,M,1980,42,,,Raw,Men's Master 1,107.35,120,170,180,-190,180,120,130,-135,130,205,-210,-210,205,515,SBD
1,Lawrence Trinidad,,M,1973,50,,,Raw,Men's Master 2,53.8,59,90,100,105,105,85,92.5,-95,92.5,100,110,120,120,317.5,SBD
1,Nicolas Sean Vera Cruz,,M,1966,56,,,Raw,Men's Master 2,71.8,74,125,135,-142.5,135,60,65,70,70,125,135,140,140,345,SBD
1,Cirilo O. Dayao,,M,1971,52,,,Raw,Men's Master 2,77.85,83,90,105,-117.5,105,82.5,87.5,-90,87.5,140,155,160,160,352.5,SBD
1,Angelito Roel Espa�ola,,M,1968,55,,,Raw,Men's Master 2,111.6,120,160,170,180,180,100,115,117.5,117.5,165,175,185,185,482.5,SBD
1,Juan Vicente Ramos,,M,1957,66,,,Raw,Men's Master 3,73.2,74,95,102.5,-107.5,102.5,62.5,-68,-68,62.5,125,133,-135,133,298,SBD
1,William Mcgowen,,M,1948,75,,,Raw,Men's Master 4,94.3,105,-70,70,75,75,60,-62.5,62.5,62.5,-140,140,-145,140,277.5,SBD
1,Ernest Marshalle Melindo,,M,2006,16,,,Raw,Men's Novice,51.6,53,95,105,115,115,70,75,80,80,100,110,125,125,320,SBD
2,Lhanze Cedric Cortez,,M,2002,20,,,Raw,Men's Novice,51.25,53,105,112.5,-117.5,112.5,55,60,-65,60,130,135,-137.5,135,307.5,SBD
3,Laurien Aemanuel Reyes,,M,2003,19,,,Raw,Men's Novice,47.85,53,85,95,-100,95,50,60,-65,60,110,120,130,130,285,SBD
4,Gave Ordonez,,M,2008,14,,,Raw,Men's Novice,46,53,65,75,82.5,82.5,45,-50,-52.5,45,-107.5,107.5,120,120,247.5,SBD
1,Matthew Caharop,,M,2005,17,,,Raw,Men's Novice,58.85,59,145,152.5,160,160,82.5,-90,-90,82.5,200,212.5,220,220,462.5,SBD
2,Paul Lansang,,M,1999,23,,,Raw,Men's Novice,,59,120,125,-130,125,-70,75,77.5,77.5,150,152.5,165,165,367.5,SBD
3,John Aron Bu�ag,,M,2002,21,,,Raw,Men's Novice,,59,125,132.5,137.5,137.5,70,75,-82.5,75,135,145,150,150,362.5,SBD
4,Axel Robert David,,M,2000,22,,,Raw,Men's Novice,,59,-120,120,125,125,60,62.5,-65,62.5,125,132.5,145,145,332.5,SBD
5,John Casey Bandiola,,M,2000,23,,,Raw,Men's Novice,,59,-90,90,110,110,60,70,-77.5,70,100,110,122.5,122.5,302.5,SBD
DQ,Eduardo Arnold Montano,,M,2003,20,,,Raw,Men's Novice,,59,,,,,,,,,,,,,,SBD
1,Rethel Jules Gumban,,M,1995,27,,,Raw,Men's Novice,64.7,66,152.5,160,-167.5,160,97.5,102.5,-105,102.5,180,187.5,195,195,457.5,SBD
2,Enrico Santiago,,M,2001,21,,,Raw,Men's Novice,64.75,66,152.5,157.5,-165,157.5,92.5,-97.5,,92.5,192.5,200,205,205,455,SBD
3,Junel Anthony Go,,M,1998,24,,,Raw,Men's Novice,64.7,66,140,150,-160,150,95,100,-105,100,180,195,-205,195,445,SBD
4,Linchu Pateo,,M,2005,17,,,Raw,Men's Novice,65.45,66,150,-155,-163,150,87.5,-90,90,90,-170,180,190,190,430,SBD
5,Juan Emmanuel Dizon,,M,2002,21,,,Raw,Men's Novice,63.75,66,-140,140,147.5,147.5,92.5,97.5,-100,97.5,-172.5,172.5,180,180,425,SBD
6,Chris Alen Madrilejos,,M,1996,26,,,Raw,Men's Novice,65.4,66,-142.5,142.5,157.5,157.5,82.5,87.5,-90,87.5,157.5,167.5,177.5,177.5,422.5,SBD
7,Michael Lawrence Homeres,,M,2003,20,,,Raw,Men's Novice,64.65,66,-130,135,-145,135,-95,-95,95,95,190,-205,-205,190,420,SBD
8,Nino Rodolfo Manuel Caba�og,,M,1998,24,,,Raw,Men's Novice,62.75,66,125,127.5,135,135,80,85,90,90,175,182.5,-192.5,182.5,407.5,SBD
9,Jan Rebong,,M,1993,30,,,Raw,Men's Novice,65.2,66,-120,120,-130,120,85,-90,-90,85,170,180,192.5,192.5,397.5,SBD
10,John Nikko Liquido,,M,1999,23,,,Raw,Men's Novice,65.2,66,127.5,137.5,142.5,142.5,75,82.5,-85,82.5,150,165,170,170,395,SBD
11,Rudolph James Juan,,M,1994,29,,,Raw,Men's Novice,65.3,66,120,-125,125,125,85,-95,95,95,160,170,175,175,395,SBD
12,Kenneth Anthony Reyes,,M,1998,25,,,Raw,Men's Novice,65.2,66,130,135,140,140,60,62.5,-65,62.5,165,175,-180,175,377.5,SBD
13,Vaughan Torvic Reyes,,M,2007,16,,,Raw,Men's Novice,61.05,66,100,102.5,115,115,70,80,85,85,160,170,-180,170,370,SBD
14,Reymart Pante,,M,1992,30,,,Raw,Men's Novice,62.05,66,120,-130,-130,120,62.5,65,70,70,155,157.5,170,170,360,SBD
15,Dan Stephen Arquillano,,M,1999,23,,,Raw,Men's Novice,64,66,115,117.5,125,125,65,72.5,-80,72.5,140,155,-160,155,352.5,SBD
16,James Jerome Bautista,,M,2006,17,,,Raw,Men's Novice,64,66,90,100,110,110,-60,60,-75,60,-110,-110,110,110,280,SBD
DQ,Josiah Contreras,,M,1999,23,,,Raw,Men's Novice,64.4,66,-150,-150,-150,,112.5,117.5,120,120,190,195,-202.5,195,,SBD
DQ,Anthony Bugante,,M,2004,19,,,Raw,Men's Novice,64.9,66,127.5,-137.5,140,140,77.5,-85,-85,77.5,-180,-187.5,-187.5,,,SBD
1,Cristian Joy Aphrilis Salazar,,M,2001,22,,,Raw,Men's Novice,73.3,74,185,195,202.5,202.5,120,127.5,-130,127.5,215,227.5,-240,227.5,557.5,SBD
2,Benedict Mario Clemente,,M,1993,29,,,Raw,Men's Novice,73.75,74,185,-197.5,200,200,100,107.5,112.5,112.5,220,230,235,235,547.5,SBD
3,Justin Asinas,,M,1993,29,,,Raw,Men's Novice,72.5,74,185,-187.5,-205,185,120,125,-130,125,220,227.5,232.5,232.5,542.5,SBD
4,Thom Salamat,,M,1994,29,,,Raw,Men's Novice,72.3,74,175,185,190,190,112.5,117.5,122.5,122.5,190,202.5,-212.5,202.5,515,SBD
5,Christopher James Eden,,M,2002,20,,,Raw,Men's Novice,74,74,170,-180,-180,170,105,107.5,-110,107.5,210,220,230,230,507.5,SBD
6,James Michael Roma,,M,1988,35,,,Raw,Men's Novice,70.55,74,160,-172.5,-172.5,160,110,115,-120,115,210,220,-230,220,495,SBD
7,Jaimarr Exconde,,M,1993,29,,,Raw,Men's Novice,71.55,74,165,175,177.5,177.5,72.5,80,90,90,200,210,220,220,487.5,SBD
8,Robert Christian Lontok,,M,2004,19,,,Raw,Men's Novice,71.7,74,162.5,-167.5,-170,162.5,90,100,107.5,107.5,185,192.5,-200,192.5,462.5,SBD
9,Kenneth Makinano,,M,1997,25,,,Raw,Men's Novice,71.95,74,150,152.5,165,165,97.5,107.5,115,115,170,180,-195,180,460,SBD
10,Jose Lorenzo Anacay,,M,1989,33,,,Raw,Men's Novice,73.9,74,-150,150,155,155,90,95,100,100,185,197.5,205,205,460,SBD
11,John Vincent Miraflor,,M,1988,34,,,Raw,Men's Novice,71.3,74,150,160,-167.5,160,75,85,-95,85,200,-215,-215,200,445,SBD
12,Rhenzo Benjamin,,M,1994,28,,,Raw,Men's Novice,73.2,74,130,140,152.5,152.5,90,105,-107.5,105,145,175,182.5,182.5,440,SBD
13,Nizzar Khan Jannaral,,M,1983,40,,,Raw,Men's Novice,70.8,74,140,150,155,155,90,-95,-95,90,180,192.5,-197.5,192.5,437.5,SBD
14,Mark Anthony Pamplona,,M,1994,28,,,Raw,Men's Novice,73.8,74,160,-170,-170,160,-100,-100,100,100,160,170,-180,170,430,SBD
15,Leroi Nino Lacaba,,M,1997,26,,,Raw,Men's Novice,71.6,74,145,155,160,160,80,85,92.5,92.5,160,175,-182.5,175,427.5,SBD
16,Tristan Stu Cabalbag,,M,1995,27,,,Raw,Men's Novice,68.85,74,127.5,135,137.5,137.5,90,95,100,100,175,182.5,-190,182.5,420,SBD
17,Carl Adrian de Jesus,,M,1996,26,,,Raw,Men's Novice,71.7,74,140,155,-170,155,65,80,-90,80,170,185,-200,185,420,SBD
18,Jian Carlos Medina,,M,2007,16,,,Raw,Men's Novice,72.05,74,-140,145,150,150,80,85,90,90,160,165,-175,165,405,SBD
19,Joshua Mandal,,M,2002,20,,,Raw,Men's Novice,69.65,74,140,150,-160,150,65,72.5,-77.5,72.5,165,175,180,180,402.5,SBD
20,Emil Angelo Concepcion,,M,2002,20,,,Raw,Men's Novice,73.85,74,140,145,-147.5,145,70,75,-82.5,75,180,-185,-185,180,400,SBD
21,Joaqui Flores,,M,2001,22,,,Raw,Men's Novice,69.4,74,115,120,-127.5,120,70,77.5,82.5,82.5,125,130,140,140,342.5,SBD
22,Jose Benedicto Aniceto,,M,2007,16,,,Raw,Men's Novice,71.05,74,-110,-110,120,120,80,-82.5,-82.5,80,140,-160,-170,140,340,SBD
23,Eugene Louis Usana,,M,1997,25,,,Raw,Men's Novice,72.7,74,110,120,130,130,65,70,-77.5,70,-120,-125,130,130,330,SBD
DQ,Mark Ernest Pintac,,M,1992,30,,,Raw,Men's Novice,,74,,,,,,,,,,,,,,SBD
1,Jan Nicole Cuevas,,M,1995,28,,,Raw,Men's Novice,81.5,83,180,190,197.5,197.5,135,142.5,150,150,235,247.5,257.5,257.5,605,SBD
2,Beau McKinzie,,M,1992,30,,,Raw,Men's Novice,81.58,83,180,182.5,202.5,202.5,120,122.5,135,135,215,225,-235,225,562.5,SBD
3,Mark Wayne Abraham Uy,,M,1996,27,,,Raw,Men's Novice,80.8,83,-180,180,195,195,120,130,-137.5,130,210,220,232.5,232.5,557.5,SBD
4,Zottocles Bechayda,,M,1990,32,,,Raw,Men's Novice,81.9,83,-195,-195,195,195,117.5,122.5,-130,122.5,210,215,-220,215,532.5,SBD
5,Aaron Joshua Figuera,,M,2000,22,,,Raw,Men's Novice,75.7,83,180,190,-200,190,107.5,115,120,120,192.5,205,215,215,525,SBD
6,Patrick Miguel Calling,,M,2000,23,,,Raw,Men's Novice,81.35,83,175,185,-190,185,80,85,90,90,222.5,230,-235,230,505,SBD
7,Michael Jewel Jimenez,,M,1996,26,,,Raw,Men's Novice,78.3,83,165,175,180,180,95,-105,-105,95,215,225,-235,225,500,SBD
8,Charanjeet Malhi,,M,1997,25,,,Raw,Men's Novice,81.4,83,-160,165,172.5,172.5,107.5,-115,-117.5,107.5,207.5,215,220,220,500,SBD
9,Jan Nikolai R. Sagmayao,,M,1999,23,,,Raw,Men's Novice,80.15,83,150,160,170,170,90,100,105,105,180,200,210,210,485,SBD
10,Angelo Jon Versoza,,M,1999,24,,,Raw,Men's Novice,,83,145,155,-162.5,155,105,112.5,120,120,180,190,200,200,475,SBD
11,Renzo Basiao,,M,2003,19,,,Raw,Men's Novice,,83,65,140,165,165,102.5,105,112.5,112.5,165,190,-205,190,467.5,SBD
12,Ramin Bahmaninejad,,M,1998,24,,,Raw,Men's Novice,80,83,150,152.5,-165,152.5,117.5,120,-127.5,120,180,185,-187.5,185,457.5,SBD
13,Ethan Quirby Colas,,M,2005,17,,,Raw,Men's Novice,80.6,83,145,152.5,160,160,-85,85,92.5,92.5,190,205,-212.5,205,457.5,SBD
14,Jan Christopher Carpo,,M,1986,36,,,Raw,Men's Novice,82.95,83,135,-142.5,142.5,142.5,130,-135,-135,130,155,162.5,172.5,172.5,445,SBD
15,Broderick Cruto,,M,2005,17,,,Raw,Men's Novice,80.8,83,150,160,-165,160,90,95,-97.5,95,175,187.5,-195,187.5,442.5,SBD
16,Clark Kenji Chua,,M,2001,22,,,Raw,Men's Novice,81.75,83,140,150,-157.5,150,90,97.5,-105,97.5,175,185,192.5,192.5,440,SBD
17,Jofre Alcera,,M,1985,37,,,Raw,Men's Novice,79.6,83,135,145,155,155,75,85,-92.5,85,155,165,-180,165,405,SBD
18,Jean Carl Nathaniel Supan,,M,2000,23,,,Raw,Men's Novice,81.2,83,135,140,145,145,75,82.5,87.5,87.5,160,167.5,172.5,172.5,405,SBD
19,Joshua Lean Donguines,,M,1996,26,,,Raw,Men's Novice,80.4,83,120,127.5,135,135,85,90,-92.5,90,162.5,170,175,175,400,SBD
20,Ethan Choa,,M,2005,17,,,Raw,Men's Novice,76.85,83,135,142.5,147.5,147.5,75,80,85,85,140,152.5,165,165,397.5,SBD
21,Rafael Du,,M,1991,31,,,Raw,Men's Novice,76.95,83,110,115,120,120,55,-62.5,65,65,120,130,140,140,325,SBD
DQ,Kenneth Joshua Bulahan,,M,1988,34,,,Raw,Men's Novice,,83,,,,,,,,,,,,,,SBD
1,Owen Dela Cruz,,M,2003,19,,,Raw,Men's Novice,91.2,93,205,215,227.5,227.5,132.5,-147.5,150,150,235,260,-265,260,637.5,SBD
2,Carl Benedict Creer,,M,1998,24,,,Raw,Men's Novice,84.25,93,175,182.5,-187.5,182.5,130,-135,135,135,235,242.5,-250,242.5,560,SBD
3,Alfonso Miguel Rivera,,M,1999,23,,,Raw,Men's Novice,91.3,93,-190,190,-215,190,120,130,-140,130,205,217.5,-225,217.5,537.5,SBD
4,Ivan Genoguin,,M,2000,22,,,Raw,Men's Novice,86.4,93,185,-192.5,192.5,192.5,95,107.5,-112.5,107.5,197.5,205,212.5,212.5,512.5,SBD
5,Renato Galang Jr.,,M,1986,36,,,Raw,Men's Novice,92.3,93,150,157.5,-162.5,157.5,127.5,130,132.5,132.5,200,207.5,-215,207.5,497.5,SBD
6,Bernie Mark Radam,,M,1999,24,,,Raw,Men's Novice,,93,150,160,-170,160,-110,110,-117.5,110,-210,215,225,225,495,SBD
7,Harold Dwight Tomas,,M,2004,19,,,Raw,Men's Novice,91.15,93,165,175,180,180,105,110,-115,110,175,185,-195,185,475,SBD
8,Ervin Molinar,,M,1994,28,,,Raw,Men's Novice,86.6,93,147.5,157.5,165,165,100,110,-112.5,110,172.5,177.5,185,185,460,SBD
9,Christian dela Bajan,,M,1991,32,,,Raw,Men's Novice,88.8,93,170,175,-182.5,175,77.5,80,85,85,180,185,190,190,450,SBD
10,Jericho Manansala,,M,2005,18,,,Raw,Men's Novice,90.45,93,120,130,-140,130,60,67.5,-70,67.5,160,172.5,185,185,382.5,SBD
11,John Lester Gimenez,,M,2005,17,,,Raw,Men's Novice,87.15,93,110,115,120,120,60,65,-67.5,65,130,140,150,150,335,SBD
DQ,Jerome Manuel Verano,,M,2000,22,,,Raw,Men's Novice,89.5,93,182.5,190,195,195,-127.5,-127.5,-127.5,,-200,200,230,230,,SBD
DQ,Vincent Paul Jastillana,,M,1997,25,,,Raw,Men's Novice,,93,,,,,,,,,,,,,,SBD
1,Gerome Diego,,M,1999,23,,,Raw,Men's Novice,101.05,105,210,220,230,230,-140,150,160,160,230,240,250,250,640,SBD
2,Romar Natividad,,M,1980,43,,,Raw,Men's Novice,96.7,105,205,-215,-220,205,130,-140,140,140,240,250,-272.5,250,595,SBD
3,Hughann Plucena,,M,1997,26,,,Raw,Men's Novice,98.9,105,165,170,185,185,135,142.5,-147.5,142.5,220,232.5,-237.5,232.5,560,SBD
4,Jeremy Lo,,M,1998,24,,,Raw,Men's Novice,98.05,105,-162.5,162.5,180,180,-125,125,132.5,132.5,195,207.5,-220,207.5,520,SBD
5,John Paul Bautista,,M,1999,23,,,Raw,Men's Novice,101.95,105,165,180,182.5,182.5,100,-105,-105,100,205,217.5,230,230,512.5,SBD
6,Patrik Joerl Abrenica,,M,1999,24,,,Raw,Men's Novice,103.6,105,170,175,-180,175,80,92.5,-97.5,92.5,180,190,210,210,477.5,SBD
7,Alan Joseph Mallari,,M,2003,19,,,Raw,Men's Novice,102.1,105,175,185,190,190,75,85,-95,85,-185,185,195,195,470,SBD
8,Nicolo Drey Pascual,,M,2007,16,,,Raw,Men's Novice,104.4,105,145,155,-172.5,155,65,70,75,75,150,160,170,170,400,SBD
9,Diego Calamba Nodado,,M,1994,28,,,Raw,Men's Novice,94.15,105,140,150,155,155,60,67.5,-75,67.5,152.5,157.5,170,170,392.5,SBD
10,Jose Enrique Guevara,,M,2001,22,,,Raw,Men's Novice,96.85,105,100,105,-115,105,-80,-85,85,85,-120,120,135,135,325,SBD
11,Christian Ballar,,M,2001,21,,,Raw,Men's Novice,101.5,105,-110,110,-125,110,40,-60,-60,40,120,130,147.5,147.5,297.5,SBD
1,Ramil Zalamea,,M,1992,30,,,Raw,Men's Novice,114.7,120,245,255,265,265,142.5,147.5,150,150,275,-300,-300,275,690,SBD
2,Francis Rodrimar Segovia,,M,2001,21,,,Raw,Men's Novice,110.6,120,200,-202.5,220,220,95,105,110,110,200,210,220,220,550,SBD
3,Kris Eliezar Lobo,,M,1991,31,,,Raw,Men's Novice,116.35,120,185,192.5,-200,192.5,115,122.5,130,130,200,210,220,220,542.5,SBD
4,Ralph Earvin Monsales,,M,1989,33,,,Raw,Men's Novice,108.1,120,200,207.5,-212.5,207.5,115,125,-130,125,-205,205,-207.5,205,537.5,SBD
5,Julius Mikhael Barredo,,M,1994,28,,,Raw,Men's Novice,105.6,120,180,182.5,195,195,90,100,-110,100,210,230,240,240,535,SBD
6,Cyrus Dan Tacliad,,M,1997,25,,,Raw,Men's Novice,109.8,120,-190,190,195,195,95,100,107.5,107.5,205,-215,-220,205,507.5,SBD
7,Warren Angelo Tumolva,,M,2003,20,,,Raw,Men's Novice,105.7,120,180,187.5,-192.5,187.5,100,105,-110,105,180,190,195,195,487.5,SBD
8,Olsen Miraveles,,M,1995,27,,,Raw,Men's Novice,118.6,120,155,165,175,175,70,75,-80,75,175,185,195,195,445,SBD
9,Boniemar Esperanza,,M,1986,36,,,Raw,Men's Novice,111,120,135,145,160,160,90,100,-105,100,150,-160,165,165,425,SBD
1,Cyril Jose Jambalos,,M,1994,29,,,Raw,Men's Novice,129.5,120+,210,230,-235,230,120,127.5,130,130,205,215,-235,215,575,SBD
2,Mhar Von Jhon Gianan,,M,1997,25,,,Raw,Men's Novice,135,120+,180,200,212.5,212.5,140,160,-180,160,180,190,200,200,572.5,SBD
3,Miguel Adrian Apigo,,M,1998,24,,,Raw,Men's Novice,123.9,120+,160,175,187.5,187.5,75,-85,85,85,175,185,195,195,467.5,SBD
1,Kyle Jan Cumpio,,M,2002,20,,,Raw,Men's Open,57.8,59,-190,190,-192.5,190,100,-105,,100,240,-247.5,-247.5,240,530,SBD
